trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
1,AUDJPY,BUY,2026-01-02 07:05:00+00:00,105.114,104.99202129294784,105.28477018987303,105.35795741410432,104.99202129294784,0.12197870705215837,0.1707701898730217,0.24395741410431673,0.63,0.32,0.31,False,False,5000.0,2026-01-02 09:25:00+00:00,104.99202129294784,140.0,SL,-53.15,4946.85,2026-01-02 07:05:00+00:00,2026-01
2,AUDJPY,BUY,2026-01-02 11:20:00+00:00,105.028,104.89661935516148,105.21193290277394,105.29076128967705,104.89661935516148,0.13138064483852385,0.18393290277393337,0.2627612896770477,0.58,0.29,0.29,False,False,4946.85,2026-01-02 13:40:00+00:00,104.89661935516148,140.0,SL,-52.9,4893.95,2026-01-02 11:20:00+00:00,2026-01
3,AUDJPY,BUY,2026-01-05 19:00:00+00:00,104.904,104.75821051991916,105.10810527211316,105.19557896016165,104.75821051991916,0.1457894800808307,0.20410527211316298,0.2915789601616614,0.53,0.27,0.26,False,False,4893.95,2026-01-05 21:05:00+00:00,104.96,125.0,EOD_EXIT,16.67,4910.62,2026-01-05 19:00:00+00:00,2026-01
4,AUDJPY,BUY,2026-01-06 19:40:00+00:00,105.535,105.40487023869345,105.71718166582917,105.79525952261311,105.40487023869345,0.1301297613065523,0.1821816658291732,0.2602595226131046,0.59,0.29,0.3,False,False,4910.62,2026-01-06 21:05:00+00:00,105.513,85.0,EOD_EXIT,-11.4,4899.22,2026-01-06 19:40:00+00:00,2026-01
5,AUDJPY,SELL,2026-01-07 14:20:00+00:00,105.394,105.53791480946785,105.19251926674502,105.10617038106433,105.53791480946785,0.14391480946784083,0.20148073325497715,0.28782961893568165,0.53,0.27,0.26,False,False,4899.22,2026-01-07 21:05:00+00:00,105.338,405.0,EOD_EXIT,16.67,4915.89,2026-01-07 14:20:00+00:00,2026-01
6,AUDJPY,SELL,2026-01-08 08:30:00+00:00,104.866,105.02492553385903,104.64350425259735,104.54814893228193,105.02492553385903,0.15892553385903443,0.2224957474026482,0.31785106771806887,0.48,0.24,0.24,False,False,4915.89,2026-01-08 12:40:00+00:00,105.02492553385903,250.0,SL,-52.4,4863.49,2026-01-08 08:30:00+00:00,2026-01
7,AUDJPY,SELL,2026-01-08 15:05:00+00:00,105.009,105.1556371469455,104.80370799427631,104.71572570610901,105.1556371469455,0.1466371469454964,0.20529200572369494,0.2932742938909928,0.52,0.26,0.26,False,False,4863.49,2026-01-08 21:05:00+00:00,105.034,360.0,EOD_EXIT,-11.06,4852.43,2026-01-08 15:05:00+00:00,2026-01
8,AUDJPY,BUY,2026-01-09 07:50:00+00:00,105.304,105.18849471674368,105.46570739655887,105.53501056651267,105.18849471674368,0.11550528325633001,0.16170739655886202,0.23101056651266003,0.67,0.34,0.33,False,False,4852.43,2026-01-09 12:05:00+00:00,105.18849471674368,255.0,SL,-53.35,4799.08,2026-01-09 07:50:00+00:00,2026-01
9,AUDJPY,BUY,2026-01-09 12:35:00+00:00,105.434,105.32199574184845,105.59080596141214,105.65800851630307,105.32199574184845,0.1120042581515377,0.15680596141215275,0.2240085163030754,0.69,0.34,0.35,False,False,4799.08,2026-01-09 13:00:00+00:00,105.32199574184845,25.0,SL,-53.45,4745.63,2026-01-09 12:35:00+00:00,2026-01
10,AUDJPY,BUY,2026-01-09 19:00:00+00:00,105.591,105.44924748669114,105.7894535186324,105.87450502661773,105.44924748669114,0.14175251330886404,0.19845351863240965,0.2835050266177281,0.54,0.27,0.27,False,False,4745.63,2026-01-11 21:05:00+00:00,105.576,3005.0,EOD_EXIT,-7.97,4737.65,2026-01-09 19:00:00+00:00,2026-01
11,AUDJPY,BUY,2026-01-12 06:05:00+00:00,105.879,105.7527136734032,106.05580085723551,106.13157265319359,105.7527136734032,0.12628632659679367,0.17680085723551114,0.25257265319358735,0.61,0.3,0.31,False,False,4737.65,2026-01-12 07:35:00+00:00,105.7527136734032,90.0,SL,-53.05,4684.6,2026-01-12 06:05:00+00:00,2026-01
12,AUDJPY,BUY,2026-01-12 08:20:00+00:00,105.876,105.74866127961808,106.05427420853471,106.13067744076386,105.876,0.1273387203819283,0.17827420853469964,0.2546774407638566,0.6,0.3,0.3,True,False,4684.6,2026-01-12 14:55:00+00:00,106.13067744076386,395.0,FULL_TP2,81.54,4766.15,2026-01-12 08:20:00+00:00,2026-01
