trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
1,AUDJPY,BUY,2026-01-02 07:05:00+00:00,105.114,104.96762555153741,105.31892422784763,105.42138634177144,104.96762555153741,0.14637444846259004,0.20492422784762604,0.30738634177143903,0.52,0.26,0.26,False,False,False,5000.0,2026-01-02 10:10:00+00:00,104.96762555153741,185.0,SL,0.0,0.0,2.6,-52.6,4947.4
2,AUDJPY,BUY,2026-01-02 11:20:00+00:00,105.028,104.87034322619378,105.24871948332873,105.35907922499308,104.87034322619378,0.1576567738062286,0.22071948332872005,0.33107922499308,0.49,0.24,0.25,False,False,False,4947.4,2026-01-02 14:05:00+00:00,104.87034322619378,165.0,SL,0.0,0.0,2.45,-52.45,4894.95
3,AUDJPY,BUY,2026-01-05 19:00:00+00:00,104.904,104.729052623903,105.14892632653579,105.2713894898037,104.729052623903,0.17494737609699684,0.24492632653579557,0.3673894898036933,0.44,0.22,0.22,False,False,False,4894.95,2026-01-05 21:05:00+00:00,104.96,125.0,EOD_CLOSE,8.02,8.02,2.2,13.84,4908.79
4,AUDJPY,BUY,2026-01-06 19:40:00+00:00,105.535,105.37884428643213,105.75361799899501,105.86292699849251,105.37884428643213,0.15615571356786276,0.21861799899500786,0.3279269984925117,0.49,0.24,0.25,False,False,False,4908.79,2026-01-06 21:05:00+00:00,105.513,85.0,EOD_CLOSE,-3.44,-3.58,2.45,-9.47,4899.32
5,AUDJPY,SELL,2026-01-07 14:20:00+00:00,105.394,105.56669777136142,105.15222312009404,105.03133468014104,105.56669777136142,0.17269777136140899,0.24177687990597257,0.36266531985895883,0.44,0.22,0.22,False,False,False,4899.32,2026-01-07 21:05:00+00:00,105.338,405.0,EOD_CLOSE,8.02,8.02,2.2,13.84,4913.16
6,AUDJPY,SELL,2026-01-08 08:30:00+00:00,104.866,105.05671064063084,104.59900510311682,104.46550765467524,105.05671064063084,0.1907106406308413,0.2669948968831778,0.4004923453247667,0.4,0.2,0.2,False,False,False,4913.16,2026-01-08 12:40:00+00:00,105.05671064063084,250.0,SL,0.0,0.0,2.0,-52.0,4861.16
7,AUDJPY,SELL,2026-01-08 15:05:00+00:00,105.009,105.1849645763346,104.76264959313157,104.63947438969736,105.1849645763346,0.17596457633459567,0.24635040686843393,0.36952561030265085,0.44,0.22,0.22,False,False,False,4861.16,2026-01-08 21:05:00+00:00,105.034,360.0,EOD_CLOSE,-3.58,-3.58,2.2,-9.36,4851.8
8,AUDJPY,BUY,2026-01-09 07:50:00+00:00,105.304,105.1653936600924,105.49804887587064,105.59507331380595,105.304,0.13860633990759602,0.1940488758706344,0.2910733138059516,0.55,0.28,0.27,True,False,False,4851.8,2026-01-09 13:05:00+00:00,105.304,315.0,TP1_THEN_BE,35.37,0.0,2.75,32.62,4884.42
9,AUDJPY,BUY,2026-01-09 19:00:00+00:00,105.591,105.42089698402935,105.82914422235889,105.94821633353833,105.42089698402935,0.17010301597063684,0.23814422235889157,0.3572163335383373,0.45,0.23,0.22,False,False,False,4884.42,2026-01-11 21:05:00+00:00,105.576,3005.0,EOD_CLOSE,-2.25,-2.15,2.25,-6.64,4877.77
10,AUDJPY,BUY,2026-01-12 06:05:00+00:00,105.879,105.72745640808385,106.09116102868262,106.19724154302392,105.72745640808385,0.1515435919161524,0.21216102868261336,0.31824154302392,0.51,0.26,0.25,False,False,False,4877.77,2026-01-12 07:35:00+00:00,105.72745640808385,90.0,SL,0.0,0.0,2.55,-52.55,4825.22
11,AUDJPY,BUY,2026-01-12 08:20:00+00:00,105.876,105.7231935355417,106.08992905024165,106.19689357536247,105.876,0.15280646445831397,0.21392905024163955,0.32089357536245927,0.5,0.25,0.25,True,False,False,4825.22,2026-01-12 15:10:00+00:00,106.19689357536247,410.0,FULL_TP2,34.81,52.22,2.5,84.53,4909.75
12,AUDJPY,BUY,2026-01-12 18:15:00+00:00,106.149,105.99940881331784,106.35842766135502,106.46314149203253,105.99940881331784,0.1495911866821581,0.20942766135502133,0.31414149203253194,0.51,0.26,0.25,False,False,False,4909.75,2026-01-12 21:05:00+00:00,106.038,170.0,EOD_CLOSE,-18.78,-18.06,2.55,-39.4,4870.35
13,AUDJPY,BUY,2026-01-13 06:55:00+00:00,106.555,106.39330550921348,106.78137228710116,106.89455843065173,106.39330550921348,0.16169449078653655,0.22637228710115115,0.3395584306517267,0.48,0.24,0.24,False,False,False,4870.35,2026-01-13 09:50:00+00:00,106.39330550921348,175.0,SL,0.0,0.0,2.4,-52.4,4817.95
