trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,net_pnl,ending_balance,entry_dt,month
1,EURJPY,SELL,2026-01-02 12:25:00+00:00,183.888,184.06024764079814,183.64685330288262,183.54350471840374,184.06024764079814,0.17224764079812935,0.24114669711738107,0.3444952815962587,0.45,0.23,0.22,False,False,5000.0,2026-01-04 21:05:00+00:00,183.761,EOD_EXIT,3400.0,34.95,5034.95,2026-01-02 12:25:00+00:00,2026-01
2,EURJPY,SELL,2026-01-05 15:55:00+00:00,183.124,183.33166533601775,182.83326852957512,182.7086693279645,183.33166533601775,0.2076653360177568,0.29073147042485953,0.4153306720355136,0.37,0.18,0.19,False,False,5034.95,2026-01-05 20:05:00+00:00,183.33166533601775,SL,250.0,-51.85,4983.1,2026-01-05 15:55:00+00:00,2026-01
3,EURJPY,SELL,2026-01-06 10:30:00+00:00,183.149,183.3291980752317,182.89672269467562,182.78860384953663,183.3291980752317,0.18019807523169334,0.25227730532437065,0.3603961504633867,0.43,0.21,0.22,False,False,4983.1,2026-01-06 16:55:00+00:00,183.3291980752317,SL,385.0,-52.15,4930.95,2026-01-06 10:30:00+00:00,2026-01
4,EURJPY,SELL,2026-01-06 17:50:00+00:00,183.184,183.34938581422207,182.95245986008908,182.85322837155582,183.34938581422207,0.16538581422208712,0.23154013991092195,0.33077162844417424,0.46,0.23,0.23,False,False,4930.95,2026-01-06 21:05:00+00:00,183.055,EOD_EXIT,195.0,36.32,4967.27,2026-01-06 17:50:00+00:00,2026-01
5,EURJPY,SELL,2026-01-07 08:50:00+00:00,182.842,183.00738452452882,182.6104616656597,182.51123095094243,183.00738452452882,0.1653845245287956,0.23153833434031382,0.3307690490575912,0.46,0.23,0.23,False,False,4967.27,2026-01-07 10:20:00+00:00,183.00738452452882,SL,90.0,-52.3,4914.97,2026-01-07 08:50:00+00:00,2026-01
6,EURJPY,SELL,2026-01-07 11:05:00+00:00,182.828,182.99253272608956,182.59765418347462,182.49893454782088,182.99253272608956,0.1645327260895646,0.2303458165253904,0.3290654521791292,0.47,0.23,0.24,False,False,4914.97,2026-01-07 13:45:00+00:00,182.99253272608956,SL,160.0,-52.35,4862.62,2026-01-07 11:05:00+00:00,2026-01
7,EURJPY,BUY,2026-01-09 11:35:00+00:00,183.561,183.41779284236392,183.76149002069053,183.8474143152722,183.41779284236392,0.14320715763609568,0.20049002069053393,0.28641431527219136,0.54,0.27,0.27,False,False,4862.62,2026-01-09 12:30:00+00:00,183.41779284236392,SL,55.0,-52.7,4809.92,2026-01-09 11:35:00+00:00,2026-01
8,EURJPY,BUY,2026-01-12 06:55:00+00:00,184.432,184.26640282858156,184.6638360399858,184.76319434283687,184.26640282858156,0.16559717141843572,0.23183603998580998,0.33119434283687144,0.46,0.23,0.23,False,False,4809.92,2026-01-12 07:30:00+00:00,184.26640282858156,SL,35.0,-52.3,4757.62,2026-01-12 06:55:00+00:00,2026-01
9,EURJPY,BUY,2026-01-12 08:00:00+00:00,184.442,184.26964835729737,184.6832922997837,184.78670328540528,184.26964835729737,0.1723516427026306,0.2412922997836828,0.3447032854052612,0.45,0.23,0.22,False,False,4757.62,2026-01-12 21:05:00+00:00,184.455,EOD_EXIT,785.0,1.56,4759.18,2026-01-12 08:00:00+00:00,2026-01
10,EURJPY,BUY,2026-01-13 06:15:00+00:00,185.272,185.0811522069625,185.53918691025245,185.65369558607495,185.0811522069625,0.19084779303747312,0.26718691025246233,0.38169558607494625,0.4,0.2,0.2,False,False,4759.18,2026-01-13 12:30:00+00:00,185.0811522069625,SL,375.0,-52.0,4707.18,2026-01-13 06:15:00+00:00,2026-01
11,EURJPY,BUY,2026-01-13 12:55:00+00:00,185.381,185.17868331620124,185.66424335731827,185.78563336759754,185.17868331620124,0.20231668379876683,0.28324335731827355,0.40463336759753366,0.38,0.19,0.19,False,False,4707.18,2026-01-13 14:30:00+00:00,185.17868331620124,SL,95.0,-51.9,4655.28,2026-01-13 12:55:00+00:00,2026-01
12,EURJPY,BUY,2026-01-13 15:40:00+00:00,185.287,185.07496656184188,185.5838468134214,185.71106687631624,185.07496656184188,0.21203343815812037,0.2968468134213685,0.42406687631624074,0.36,0.18,0.18,False,False,4655.28,2026-01-13 21:05:00+00:00,185.279,EOD_EXIT,325.0,-3.67,4651.61,2026-01-13 15:40:00+00:00,2026-01
13,EURJPY,SELL,2026-01-14 17:40:00+00:00,184.309,184.54353288925154,183.98065395504784,183.83993422149692,184.54353288925154,0.23453288925153698,0.32834604495215175,0.46906577850307396,0.33,0.17,0.16,False,False,4651.61,2026-01-14 19:05:00+00:00,184.54353288925154,SL,85.0,-51.65,4599.96,2026-01-14 17:40:00+00:00,2026-01
14,EURJPY,SELL,2026-01-14 20:55:00+00:00,184.513,184.73387163180965,184.2037797154665,184.07125673638075,184.73387163180965,0.22087163180963068,0.30922028453348294,0.44174326361926136,0.35,0.17,0.18,False,False,4599.96,2026-01-14 21:05:00+00:00,184.477,EOD_EXIT,10.0,6.45,4606.41,2026-01-14 20:55:00+00:00,2026-01
15,EURJPY,SELL,2026-01-15 06:35:00+00:00,184.389,184.6061930681836,184.084929704543,183.95461386363286,184.6061930681836,0.21719306818357867,0.30407029545701014,0.43438613636715734,0.35,0.17,0.18,False,False,4606.41,2026-01-15 07:40:00+00:00,184.6061930681836,SL,65.0,-51.75,4554.66,2026-01-15 06:35:00+00:00,2026-01
16,EURJPY,SELL,2026-01-15 08:20:00+00:00,184.308,184.53598790062767,183.98881693912125,183.85202419874463,184.308,0.22798790062767907,0.3191830608787507,0.45597580125535814,0.34,0.17,0.17,True,False,4554.66,2026-01-15 21:05:00+00:00,184.136,EOD_EXIT,765.0,52.65,4607.31,2026-01-15 08:20:00+00:00,2026-01
17,EURJPY,SELL,2026-01-16 06:20:00+00:00,183.715,183.91373221847488,183.4367748941352,183.31753556305028,183.715,0.198732218474863,0.2782251058648082,0.397464436949726,0.39,0.2,0.19,True,False,4607.31,2026-01-16 14:25:00+00:00,183.31753556305028,FULL_TP2,485.0,83.42,4690.73,2026-01-16 06:20:00+00:00,2026-01
18,EURJPY,SELL,2026-01-16 18:30:00+00:00,183.369,183.56519865558593,183.09432188217968,182.97660268882814,183.56519865558593,0.19619865558593597,0.2746781178203103,0.39239731117187193,0.39,0.2,0.19,False,False,4690.73,2026-01-18 21:05:00+00:00,182.97660268882814,FULL_TP2,3035.0,82.34,4773.07,2026-01-16 18:30:00+00:00,2026-01
19,EURJPY,BUY,2026-01-19 10:25:00+00:00,183.655,183.4298316513868,183.9702356880585,184.10533669722642,183.655,0.2251683486132037,0.3152356880584852,0.4503366972264074,0.34,0.17,0.17,True,False,4773.07,2026-01-19 15:15:00+00:00,184.10533669722642,FULL_TP2,290.0,83.01,4856.08,2026-01-19 10:25:00+00:00,2026-01
20,EURJPY,BUY,2026-01-20 08:55:00+00:00,184.948,184.7214361189572,185.26518943345994,185.40112776208562,184.7214361189572,0.22656388104280828,0.31718943345993156,0.45312776208561656,0.34,0.17,0.17,False,False,4856.08,2026-01-20 12:30:00+00:00,185.40112776208562,FULL_TP2,215.0,83.54,4939.62,2026-01-20 08:55:00+00:00,2026-01
21,EURJPY,BUY,2026-01-20 17:10:00+00:00,185.335,185.1111312542195,185.64841624409274,185.78273749156105,185.1111312542195,0.22386874578052834,0.31341624409273966,0.4477374915610567,0.34,0.17,0.17,False,False,4939.62,2026-01-20 21:05:00+00:00,185.401,EOD_EXIT,235.0,12.91,4952.53,2026-01-20 17:10:00+00:00,2026-01
22,EURJPY,SELL,2026-01-21 11:05:00+00:00,184.96,185.15199093561807,184.6912126901347,184.57601812876385,185.15199093561807,0.19199093561807273,0.2687873098653018,0.38398187123614547,0.4,0.2,0.2,False,False,4952.53,2026-01-21 11:55:00+00:00,185.15199093561807,SL,50.0,-52.0,4900.53,2026-01-21 11:05:00+00:00,2026-01
23,EURJPY,BUY,2026-01-22 10:20:00+00:00,185.594,185.41545765765738,185.84395927927966,185.95108468468524,185.594,0.17854234234261793,0.24995927927966508,0.35708468468523585,0.43,0.21,0.22,True,False,4900.53,2026-01-22 12:15:00+00:00,185.95108468468524,FULL_TP2,115.0,83.15,4983.68,2026-01-22 10:20:00+00:00,2026-01
24,EURJPY,BUY,2026-01-22 15:00:00+00:00,185.868,185.67363119549253,186.14011632631042,186.2567376090149,185.868,0.1943688045074547,0.27211632631043653,0.3887376090149094,0.4,0.2,0.2,True,False,4983.68,2026-01-22 21:05:00+00:00,186.152,EOD_EXIT,365.0,70.4,5054.07,2026-01-22 15:00:00+00:00,2026-01
25,EURJPY,SELL,2026-01-23 12:45:00+00:00,185.657,185.9766949512467,185.20942706825463,185.01761009750663,185.9766949512467,0.3196949512466934,0.4475729317453707,0.6393899024933868,0.24,0.12,0.12,False,False,5054.07,2026-01-23 14:50:00+00:00,185.9766949512467,SL,125.0,-51.2,5002.87,2026-01-23 12:45:00+00:00,2026-01
26,EURJPY,SELL,2026-01-23 15:15:00+00:00,185.716,186.00854803494497,185.30643275107707,185.1309039301101,185.716,0.29254803494496373,0.4095672489229492,0.5850960698899275,0.26,0.13,0.13,True,False,5002.87,2026-01-23 16:10:00+00:00,185.1309039301101,FULL_TP2,55.0,82.87,5085.74,2026-01-23 15:15:00+00:00,2026-01
27,EURJPY,SELL,2026-01-23 20:10:00+00:00,184.159,184.55274591416304,183.60775572017175,183.37150817167392,184.55274591416304,0.39374591416303784,0.551244279828253,0.7874918283260757,0.2,0.1,0.1,False,False,5085.74,2026-01-25 21:05:00+00:00,183.738,EOD_EXIT,2935.0,53.81,5139.54,2026-01-23 20:10:00+00:00,2026-01
