trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,net_pnl,ending_balance,entry_dt,month
1,GBPJPY,BUY,2026-01-05 18:40:00+00:00,211.514,211.26979383523022,211.85588863067773,212.05125356249354,211.26979383523022,0.24420616476979284,0.34188863067770997,0.5372535624935443,0.31,0.15,0.16,False,False,5000.0,2026-01-05 21:05:00+00:00,211.694,EOD_EXIT,145.0,34.8,5034.8,2026-01-05 18:40:00+00:00,2026-01
2,GBPJPY,SELL,2026-01-06 14:30:00+00:00,211.463,211.67614180472464,211.1646014733855,210.9940880296058,211.67614180472464,0.21314180472464334,0.29839852661450067,0.4689119703942154,0.36,0.18,0.18,False,False,5034.8,2026-01-06 16:40:00+00:00,211.67614180472464,SL,130.0,-51.8,4983.0,2026-01-06 14:30:00+00:00,2026-01
3,GBPJPY,SELL,2026-01-06 17:55:00+00:00,211.558,211.77123197703352,211.25947523215302,211.0888896505262,211.77123197703352,0.21323197703354152,0.2985247678469581,0.4691103494737914,0.36,0.18,0.18,False,False,4983.0,2026-01-06 21:05:00+00:00,211.455,EOD_EXIT,190.0,22.36,5005.36,2026-01-06 17:55:00+00:00,2026-01
4,GBPJPY,SELL,2026-01-07 08:30:00+00:00,211.116,211.32360916729297,210.82534716578985,210.6592598319555,211.32360916729297,0.20760916729296924,0.2906528342101569,0.4567401680445324,0.37,0.18,0.19,False,False,5005.36,2026-01-07 10:15:00+00:00,211.32360916729297,SL,105.0,-51.85,4953.51,2026-01-07 08:30:00+00:00,2026-01
5,GBPJPY,SELL,2026-01-07 11:10:00+00:00,211.202,211.40630041564967,210.91597941809047,210.75253908557076,211.40630041564967,0.2043004156496555,0.2860205819095177,0.44946091442924213,0.38,0.19,0.19,False,False,4953.51,2026-01-07 21:05:00+00:00,210.943,EOD_EXIT,595.0,62.22,5015.73,2026-01-07 11:10:00+00:00,2026-01
6,GBPJPY,SELL,2026-01-08 11:30:00+00:00,210.638,210.83139040719902,210.3672534299214,210.2125411041622,210.83139040719902,0.19339040719900782,0.2707465700786109,0.42545889583781726,0.4,0.2,0.2,False,False,5015.73,2026-01-08 13:35:00+00:00,210.83139040719902,SL,125.0,-52.0,4963.73,2026-01-08 11:30:00+00:00,2026-01
7,GBPJPY,BUY,2026-01-09 06:40:00+00:00,211.398,211.2243607438628,211.64109495859208,211.78000636350183,211.398,0.17363925613719944,0.2430949585920792,0.3820063635018388,0.44,0.22,0.22,True,False,4963.73,2026-01-09 13:10:00+00:00,211.78000636350183,FULL_TP2,390.0,87.4,5051.13,2026-01-09 06:40:00+00:00,2026-01
8,GBPJPY,BUY,2026-01-12 07:55:00+00:00,212.31,212.09571888231557,212.6099935647582,212.78141845890573,212.31,0.2142811176844261,0.2999935647581965,0.4714184589057374,0.36,0.18,0.18,True,False,5051.13,2026-01-12 12:55:00+00:00,212.78141845890573,FULL_TP2,300.0,88.66,5139.79,2026-01-12 07:55:00+00:00,2026-01
9,GBPJPY,BUY,2026-01-12 18:10:00+00:00,212.862,212.65385298208915,213.15340582507517,213.31992343940385,212.65385298208915,0.20814701791084264,0.2914058250751797,0.4579234394038538,0.37,0.18,0.19,False,False,5139.79,2026-01-12 21:05:00+00:00,212.873,EOD_EXIT,175.0,0.8,5140.59,2026-01-12 18:10:00+00:00,2026-01
10,GBPJPY,BUY,2026-01-13 06:55:00+00:00,214.04,213.80922218474745,214.36308894135357,214.54771119355559,213.80922218474745,0.2307778152525461,0.32308894135356453,0.5077111935556015,0.33,0.17,0.16,False,False,5140.59,2026-01-13 12:00:00+00:00,213.80922218474745,SL,305.0,-51.65,5088.94,2026-01-13 06:55:00+00:00,2026-01
