trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
1,GBPJPY,BUY,2026-01-05 18:40:00+00:00,211.514,211.31863506818416,211.748437918179,211.86565687726852,211.514,0.19536493181583428,0.23443791817900111,0.35165687726850164,0.39,0.2,0.19,True,False,False,5000.0,2026-01-05 21:05:00+00:00,211.694,EOD_CLOSE,145.0,30.55,22.28,1.95,50.88,5050.88
2,GBPJPY,SELL,2026-01-06 14:30:00+00:00,211.463,211.63351344377972,211.25838386746435,211.1560758011965,211.63351344377972,0.17051344377971467,0.2046161325356576,0.30692419880348637,0.45,0.23,0.22,False,False,False,5050.88,2026-01-06 16:25:00+00:00,211.63351344377972,SL,115.0,0.0,0.0,2.25,-52.25,4998.63
3,GBPJPY,SELL,2026-01-06 17:55:00+00:00,211.558,211.72858558162682,211.3532973020478,211.2509459530717,211.72858558162682,0.17058558162683324,0.2047026979521999,0.3070540469282998,0.45,0.23,0.22,False,False,False,4998.63,2026-01-06 21:05:00+00:00,211.455,EOD_CLOSE,190.0,15.43,14.76,2.25,27.95,5026.58
4,GBPJPY,SELL,2026-01-07 08:30:00+00:00,211.116,211.2820873338344,210.91669519939876,210.81704279909815,211.2820873338344,0.1660873338343754,0.19930480060125047,0.2989572009018757,0.46,0.23,0.23,False,False,False,5026.58,2026-01-07 09:45:00+00:00,211.2820873338344,SL,75.0,0.0,0.0,2.3,-52.3,4974.28
5,GBPJPY,SELL,2026-01-07 11:10:00+00:00,211.202,211.3654403325197,211.00587160097632,210.90780740146448,211.202,0.16344033251972442,0.1961283990236693,0.29419259853550395,0.47,0.23,0.24,True,False,False,4974.28,2026-01-07 13:40:00+00:00,211.202,TP1_THEN_BE,150.0,29.39,0.0,2.35,27.04,5001.31
6,GBPJPY,SELL,2026-01-07 15:35:00+00:00,211.092,211.26128904979947,210.88885314024066,210.787279710361,211.26128904979947,0.16928904979945533,0.2031468597593464,0.3047202896390196,0.45,0.23,0.22,False,False,False,5001.31,2026-01-07 21:05:00+00:00,210.943,EOD_CLOSE,330.0,22.33,21.36,2.25,41.43,5042.75
7,GBPJPY,SELL,2026-01-08 11:30:00+00:00,210.638,210.79271232575923,210.45234520908895,210.35951781363343,210.79271232575923,0.15471232575920627,0.1856547909110475,0.27848218636657124,0.5,0.25,0.25,False,False,False,5042.75,2026-01-08 13:30:00+00:00,210.79271232575923,SL,120.0,0.0,0.0,2.5,-52.5,4990.25
8,GBPJPY,BUY,2026-01-09 06:40:00+00:00,211.398,211.25908859509025,211.5646936858917,211.64804052883756,211.398,0.13891140490975956,0.16669368589171146,0.25004052883756717,0.55,0.28,0.27,True,False,False,4990.25,2026-01-09 07:30:00+00:00,211.398,TP1_THEN_BE,50.0,30.41,0.0,2.75,27.66,5017.91
9,GBPJPY,BUY,2026-01-09 11:20:00+00:00,211.45,211.3065833873848,211.62209993513824,211.70814990270736,211.45,0.14341661261520453,0.17209993513824542,0.2581499027073681,0.54,0.27,0.27,True,False,False,5017.91,2026-01-09 12:35:00+00:00,211.70814990270736,FULL_TP2,75.0,30.27,45.41,2.7,72.98,5090.89
10,GBPJPY,BUY,2026-01-12 07:55:00+00:00,212.31,212.13857510585245,212.51570987297706,212.61856480946557,212.31,0.1714248941475409,0.20570987297704907,0.3085648094655736,0.45,0.23,0.22,True,False,False,5090.89,2026-01-12 09:50:00+00:00,212.61856480946557,FULL_TP2,115.0,30.82,44.23,2.25,72.8,5163.69
