trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,net_pnl,ending_balance,entry_dt,month
1,GBPUSD,SELL,2026-01-02 19:40:00+00:00,1.34531,1.3469105660936156,1.343069207468938,1.3417887545940455,1.3469105660936156,0.0016005660936156724,0.002240792531061941,0.0035212454059544793,0.31,0.15,0.16,False,False,5000.0,2026-01-04 21:05:00+00:00,1.3452,EOD_EXIT,2965.0,1.86,5001.86,2026-01-02 19:40:00+00:00,2026-01
2,GBPUSD,SELL,2026-01-05 06:30:00+00:00,1.34231,1.3437771890384376,1.3402559353461871,1.339082184115437,1.3437771890384376,0.0014671890384376418,0.0020540646538126984,0.003227815884562812,0.34,0.17,0.17,False,False,5001.86,2026-01-05 07:25:00+00:00,1.3437771890384376,SL,55.0,-51.7,4950.16,2026-01-05 06:30:00+00:00,2026-01
3,GBPUSD,SELL,2026-01-05 07:45:00+00:00,1.3426,1.3440781041071206,1.340530654250031,1.3393481709643345,1.3440781041071206,0.0014781041071206644,0.00206934574996893,0.003251829035665462,0.34,0.17,0.17,False,False,4950.16,2026-01-05 08:55:00+00:00,1.3440781041071206,SL,70.0,-51.7,4898.46,2026-01-05 07:45:00+00:00,2026-01
4,GBPUSD,BUY,2026-01-06 07:10:00+00:00,1.35601,1.3546151632771153,1.3579627714120386,1.3590786407903463,1.3546151632771153,0.0013948367228847182,0.0019527714120386053,0.0030686407903463804,0.36,0.18,0.18,False,False,4898.46,2026-01-06 08:10:00+00:00,1.3546151632771153,SL,60.0,-51.8,4846.66,2026-01-06 07:10:00+00:00,2026-01
5,GBPUSD,SELL,2026-01-06 17:40:00+00:00,1.3502100000000001,1.3519044090174281,1.3478378273756009,1.3464823001616586,1.3519044090174281,0.0016944090174280016,0.002372172624399202,0.0037276998383416037,0.3,0.15,0.15,False,False,4846.66,2026-01-06 21:05:00+00:00,1.34995,EOD_EXIT,205.0,6.3,4852.96,2026-01-06 17:40:00+00:00,2026-01
6,GBPUSD,SELL,2026-01-07 11:10:00+00:00,1.34939,1.3506257936314927,1.3476598889159106,1.3466712540107166,1.34939,0.0012357936314925163,0.0017301110840895226,0.002718745989283536,0.4,0.2,0.2,True,False,4852.96,2026-01-07 14:35:00+00:00,1.34939,TP1_THEN_BE,205.0,32.6,4885.56,2026-01-07 11:10:00+00:00,2026-01
7,GBPUSD,SELL,2026-01-08 06:10:00+00:00,1.3452,1.3461876023406192,1.343817356723133,1.3430272748506378,1.3452,0.0009876023406191637,0.0013826432768668292,0.00217272514936216,0.51,0.26,0.25,True,False,4885.56,2026-01-08 12:40:00+00:00,1.3430272748506378,FULL_TP2,390.0,87.72,4973.28,2026-01-08 06:10:00+00:00,2026-01
8,GBPUSD,SELL,2026-01-08 15:25:00+00:00,1.34315,1.344451173759285,1.3413283567370011,1.3402874177295732,1.344451173759285,0.0013011737592849497,0.0018216432629989295,0.0028625822704268894,0.38,0.19,0.19,False,False,4973.28,2026-01-08 20:45:00+00:00,1.344451173759285,SL,320.0,-51.9,4921.38,2026-01-08 15:25:00+00:00,2026-01
9,GBPUSD,SELL,2026-01-09 07:25:00+00:00,1.34196,1.3430121154173424,1.3404870384157208,1.339645346081847,1.34196,0.00105211541734234,0.001472961584279276,0.0023146539181531484,0.48,0.24,0.24,True,False,4921.38,2026-01-09 12:00:00+00:00,1.34196,TP1_THEN_BE,275.0,32.95,4954.33,2026-01-09 07:25:00+00:00,2026-01
10,GBPUSD,SELL,2026-01-09 15:20:00+00:00,1.34088,1.3425344230780392,1.3385638076907453,1.337240269228314,1.3425344230780392,0.0016544230780390886,0.0023161923092547237,0.003639730771685995,0.3,0.15,0.15,False,False,4954.33,2026-01-11 21:05:00+00:00,1.3399,EOD_EXIT,3225.0,27.9,4982.23,2026-01-09 15:20:00+00:00,2026-01
