trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
1,GER40,BUY,2026-01-02 11:50:00+00:00,24596.4,24530.204446926786,24689.073774302502,24728.79110614643,24530.204446926786,66.19555307321407,92.6737743024997,132.39110614642814,0.06,0.03,0.03,False,False,5000.0,2026-01-02 14:10:00+00:00,24530.204446926786,140.0,SL,-50.3,4949.7,2026-01-02 11:50:00+00:00,2026-01
2,GER40,BUY,2026-01-05 18:25:00+00:00,24868.9,24802.774536773395,24961.475648517247,25001.15092645321,24868.9,66.12546322660533,92.57564851724746,132.25092645321067,0.06,0.03,0.03,True,False,4949.7,2026-01-06 07:15:00+00:00,24868.9,770.0,TP1_THEN_BE,32.02,4981.72,2026-01-05 18:25:00+00:00,2026-01
3,GER40,BUY,2026-01-06 08:10:00+00:00,24906.2,24843.31485174888,24994.23920755157,25031.970296502244,24906.2,62.88514825112107,88.0392075515695,125.77029650224215,0.07,0.04,0.03,True,False,4981.72,2026-01-07 07:00:00+00:00,25031.970296502244,1370.0,FULL_TP2,84.54,5066.26,2026-01-06 08:10:00+00:00,2026-01
4,GER40,BUY,2026-01-07 11:55:00+00:00,25080.6,25026.13238470031,25156.854661419562,25189.535230599373,25080.6,54.46761529968796,76.25466141956313,108.93523059937591,0.08,0.04,0.04,True,False,5066.26,2026-01-08 06:00:00+00:00,25080.6,1085.0,TP1_THEN_BE,35.1,5101.35,2026-01-07 11:55:00+00:00,2026-01
5,GER40,BUY,2026-01-08 07:05:00+00:00,25181.8,25130.374064370095,25253.79630988187,25284.65187125981,25130.374064370095,51.425935629906064,71.99630988186848,102.85187125981213,0.08,0.04,0.04,False,False,5101.35,2026-01-08 09:00:00+00:00,25130.374064370095,115.0,SL,-50.4,5050.95,2026-01-08 07:05:00+00:00,2026-01
6,GER40,BUY,2026-01-08 19:25:00+00:00,25188.0,25133.729049327354,25263.979330941704,25296.54190134529,25133.729049327354,54.270950672644915,75.97933094170287,108.54190134528983,0.08,0.04,0.04,False,False,5050.95,2026-01-09 07:00:00+00:00,25133.729049327354,695.0,SL,-50.4,5000.55,2026-01-08 19:25:00+00:00,2026-01
7,GER40,BUY,2026-01-09 08:15:00+00:00,25167.2,25115.796327030686,25239.165142157042,25270.00734593863,25167.2,51.40367296931509,71.96514215704111,102.80734593863018,0.08,0.04,0.04,True,False,5000.55,2026-01-09 11:30:00+00:00,25270.00734593863,195.0,FULL_TP2,80.95,5081.51,2026-01-09 08:15:00+00:00,2026-01
8,GER40,BUY,2026-01-09 17:30:00+00:00,25279.6,25224.338758633734,25356.965737912768,25390.122482732528,25224.338758633734,55.261241366264336,77.36573791277007,110.52248273252867,0.08,0.04,0.04,False,False,5081.51,2026-01-12 06:50:00+00:00,25224.338758633734,3680.0,SL,-50.4,5031.11,2026-01-09 17:30:00+00:00,2026-01
9,GER40,BUY,2026-01-12 07:20:00+00:00,25276.2,25224.375223483396,25348.754687123248,25379.84955303321,25276.2,51.82477651660477,72.55468712324668,103.64955303320954,0.08,0.04,0.04,True,False,5031.11,2026-01-12 10:55:00+00:00,25379.84955303321,215.0,FULL_TP2,81.62,5112.72,2026-01-12 07:20:00+00:00,2026-01
10,GER40,BUY,2026-01-12 17:05:00+00:00,25438.8,25387.06503019547,25511.228957726344,25542.26993960906,25387.06503019547,51.734969804530735,72.42895772634303,103.46993960906147,0.08,0.04,0.04,False,False,5112.72,2026-01-13 08:45:00+00:00,25387.06503019547,940.0,SL,-50.4,5062.32,2026-01-12 17:05:00+00:00,2026-01
11,GER40,BUY,2026-01-13 15:50:00+00:00,25468.7,25418.29205817912,25539.271118549237,25569.51588364177,25418.29205817912,50.407941820883174,70.57111854923645,100.81588364176635,0.09,0.04,0.05,False,False,5062.32,2026-01-13 18:00:00+00:00,25418.29205817912,130.0,SL,-50.45,5011.87,2026-01-13 15:50:00+00:00,2026-01
12,GER40,BUY,2026-01-14 06:00:00+00:00,25442.5,25395.947109012424,25507.674047382603,25535.605781975148,25395.947109012424,46.55289098757408,65.1740473826037,93.10578197514816,0.09,0.04,0.05,False,False,5011.87,2026-01-14 09:20:00+00:00,25395.947109012424,200.0,SL,-50.45,4961.42,2026-01-14 06:00:00+00:00,2026-01
13,GER40,SELL,2026-01-14 12:00:00+00:00,25343.2,25393.63246339414,25272.594551248207,25242.335073211725,25343.2,50.43246339413798,70.60544875179318,100.86492678827597,0.09,0.04,0.05,True,False,4961.42,2026-01-14 19:35:00+00:00,25343.2,455.0,TP1_THEN_BE,32.42,4993.84,2026-01-14 12:00:00+00:00,2026-01
14,GER40,SELL,2026-01-15 07:05:00+00:00,25303.7,25357.764783615487,25228.00930293832,25195.57043276903,25357.764783615487,54.06478361548565,75.69069706167991,108.1295672309713,0.08,0.04,0.04,False,False,4993.84,2026-01-15 13:35:00+00:00,25357.764783615487,390.0,SL,-50.4,4943.44,2026-01-15 07:05:00+00:00,2026-01
15,GER40,SELL,2026-01-21 15:35:00+00:00,24525.6,24618.7084859916,24395.24811961176,24339.383028016797,24618.7084859916,93.1084859916007,130.35188038824097,186.2169719832014,0.05,0.03,0.02,False,False,4943.44,2026-01-21 18:25:00+00:00,24618.7084859916,170.0,SL,-50.25,4893.19,2026-01-21 15:35:00+00:00,2026-01
16,GER40,BUY,2026-01-23 06:15:00+00:00,24864.1,24780.7665514552,24980.766827962718,25030.766897089597,24864.1,83.33344854479982,116.66682796271974,166.66689708959964,0.05,0.03,0.02,True,False,4893.19,2026-01-27 06:00:00+00:00,25030.766897089597,5745.0,FULL_TP2,79.27,4972.46,2026-01-23 06:15:00+00:00,2026-01
17,GER40,SELL,2026-01-29 11:45:00+00:00,24589.1,24668.974134272597,24477.276212018358,24429.351731454797,24589.1,79.87413427260044,111.82378798164062,159.7482685452009,0.05,0.03,0.02,True,False,4972.46,2026-01-29 14:00:00+00:00,24429.351731454797,135.0,FULL_TP2,75.97,5048.43,2026-01-29 11:45:00+00:00,2026-01
18,GER40,SELL,2026-01-30 06:00:00+00:00,24392.2,24480.73007032528,24268.25790154461,24215.13985934944,24480.73007032528,88.53007032527935,123.94209845539109,177.0601406505587,0.05,0.03,0.02,False,False,5048.43,2026-01-30 07:20:00+00:00,24480.73007032528,80.0,SL,-50.25,4998.18,2026-01-30 06:00:00+00:00,2026-01
19,GER40,SELL,2026-01-30 19:20:00+00:00,24503.3,24590.755930020667,24380.861697971064,24328.388139958664,24590.755930020667,87.45593002066695,122.43830202893373,174.9118600413339,0.05,0.03,0.02,False,False,4998.18,2026-02-02 06:00:00+00:00,24328.388139958664,3520.0,FULL_TP2,83.2,5081.38,2026-01-30 19:20:00+00:00,2026-01
20,GER40,BUY,2026-02-02 16:00:00+00:00,24812.3,24722.141275698847,24938.52221402161,24992.6174486023,24812.3,90.15872430115127,126.22221402161176,180.31744860230253,0.05,0.03,0.02,True,False,5081.38,2026-02-03 07:05:00+00:00,24992.6174486023,905.0,FULL_TP2,85.78,5167.16,2026-02-02 16:00:00+00:00,2026-02
21,GER40,SELL,2026-02-04 11:35:00+00:00,24705.0,24800.984598797215,24570.6215616839,24513.03080240557,24705.0,95.98459879721506,134.37843831610107,191.9691975944301,0.04,0.02,0.02,True,False,5167.16,2026-02-05 07:55:00+00:00,24513.03080240557,1220.0,FULL_TP2,75.75,5242.92,2026-02-04 11:35:00+00:00,2026-02
22,GER40,SELL,2026-02-05 11:25:00+00:00,24506.0,24605.677750371666,24366.451149479668,24306.644499256672,24506.0,99.67775037166446,139.54885052033023,199.35550074332892,0.04,0.02,0.02,True,False,5242.92,2026-02-05 13:15:00+00:00,24306.644499256672,110.0,FULL_TP2,78.68,5321.6,2026-02-05 11:25:00+00:00,2026-02
23,GER40,SELL,2026-02-05 14:00:00+00:00,24376.0,24493.16141310734,24211.974021649723,24141.677173785316,24493.16141310734,117.1614131073419,164.02597835027865,234.3228262146838,0.04,0.02,0.02,False,False,5321.6,2026-02-05 15:30:00+00:00,24493.16141310734,90.0,SL,-50.2,5271.4,2026-02-05 14:00:00+00:00,2026-02
