trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,net_pnl,ending_balance,entry_dt,month
1,JPN225,BUY,2026-01-02 07:00:00+00:00,50948.0,50834.54051751674,51106.84327547656,51174.91896496651,50948.0,113.45948248325683,158.84327547655957,226.91896496651367,0.68,0.34,0.34,True,False,5000.0,2026-01-02 08:00:00+00:00,51174.91896496651,FULL_TP2,60.0,81.97,5081.97,2026-01-02 07:00:00+00:00,2026-01
2,JPN225,BUY,2026-01-02 11:55:00+00:00,51087.0,50964.684863619215,51258.2411909331,51331.63027276158,50964.684863619215,122.31513638078663,171.24119093310128,244.63027276157325,0.63,0.32,0.31,False,False,5081.97,2026-01-02 14:15:00+00:00,50964.684863619215,SL,140.0,-53.15,5028.82,2026-01-02 11:55:00+00:00,2026-01
3,JPN225,BUY,2026-01-05 07:15:00+00:00,51844.0,51644.761238777035,52122.93426571215,52242.47752244593,51844.0,199.23876122296633,278.93426571215286,398.47752244593266,0.39,0.2,0.19,True,False,5028.82,2026-01-05 20:25:00+00:00,52242.47752244593,FULL_TP2,790.0,83.64,5112.46,2026-01-05 07:15:00+00:00,2026-01
4,JPN225,SELL,2026-01-06 20:05:00+00:00,51975.0,52120.40977720594,51771.42631191169,51684.18044558812,52120.40977720594,145.40977720593924,203.57368808831492,290.81955441187847,0.53,0.27,0.26,False,False,5112.46,2026-01-06 22:00:00+00:00,52087.0,EOD_EXIT,115.0,-41.29,5071.18,2026-01-06 20:05:00+00:00,2026-01
5,JPN225,SELL,2026-01-07 07:10:00+00:00,51929.0,52086.62751671732,51708.321476595745,51613.744966565355,52086.62751671732,157.62751671732283,220.67852340425196,315.25503343464567,0.49,0.24,0.25,False,False,5071.18,2026-01-07 22:00:00+00:00,51821.0,EOD_EXIT,890.0,32.0,5103.17,2026-01-07 07:10:00+00:00,2026-01
6,JPN225,SELL,2026-01-08 15:05:00+00:00,51402.0,51571.53744278867,51164.647580095865,51062.925114422666,51571.53744278867,169.53744278866782,237.35241990413493,339.07488557733564,0.45,0.23,0.22,False,False,5103.17,2026-01-08 22:00:00+00:00,51512.0,EOD_EXIT,415.0,-34.47,5068.7,2026-01-08 15:05:00+00:00,2026-01
7,JPN225,BUY,2026-01-09 06:50:00+00:00,51930.0,51766.48919170274,52158.91513161616,52257.02161659452,51930.0,163.5108082972571,228.91513161615995,327.0216165945142,0.47,0.23,0.24,True,False,5068.7,2026-01-09 12:30:00+00:00,52257.02161659452,FULL_TP2,340.0,83.01,5151.71,2026-01-09 06:50:00+00:00,2026-01
8,JPN225,BUY,2026-01-09 17:35:00+00:00,53550.0,53297.09876259357,53904.061732369,54055.80247481287,53297.09876259357,252.9012374064326,354.06173236900565,505.8024748128652,0.3,0.15,0.15,False,False,5151.71,2026-01-11 22:00:00+00:00,53666.0,EOD_EXIT,3145.0,21.15,5172.86,2026-01-09 17:35:00+00:00,2026-01
9,JPN225,BUY,2026-01-12 07:05:00+00:00,53850.0,53649.12092836864,54131.2307002839,54251.75814326271,53850.0,200.87907163135668,281.23070028389935,401.75814326271336,0.38,0.19,0.19,True,False,5172.86,2026-01-12 22:00:00+00:00,54002.0,EOD_EXIT,895.0,51.68,5224.54,2026-01-12 07:05:00+00:00,2026-01
10,JPN225,BUY,2026-01-13 12:20:00+00:00,53851.0,53686.308608658874,54081.56794787757,54180.382782682245,53851.0,164.69139134112436,230.56794787757408,329.3827826822487,0.47,0.23,0.24,True,False,5224.54,2026-01-13 14:00:00+00:00,53851.0,TP1_THEN_BE,100.0,32.17,5256.71,2026-01-13 12:20:00+00:00,2026-01
11,JPN225,BUY,2026-01-13 15:05:00+00:00,54003.0,53826.67055875494,54249.861217743084,54355.65888249013,53826.67055875494,176.32944124506204,246.86121774308685,352.6588824901241,0.44,0.22,0.22,False,False,5256.71,2026-01-13 22:00:00+00:00,53923.0,EOD_EXIT,415.0,-25.11,5231.59,2026-01-13 15:05:00+00:00,2026-01
12,JPN225,BUY,2026-01-14 06:05:00+00:00,54348.0,54152.483622259155,54621.72292883718,54739.03275548168,54152.483622259155,195.51637774084196,273.7229288371787,391.0327554816839,0.39,0.2,0.19,False,False,5231.59,2026-01-14 09:50:00+00:00,54152.483622259155,SL,225.0,-51.95,5179.64,2026-01-14 06:05:00+00:00,2026-01
13,JPN225,SELL,2026-01-14 15:30:00+00:00,54003.0,54225.1282903041,53692.020393574254,53558.743419391794,54225.1282903041,222.1282903041023,310.9796064257432,444.2565806082046,0.35,0.17,0.18,False,False,5179.64,2026-01-14 22:00:00+00:00,53941.0,EOD_EXIT,390.0,12.37,5192.02,2026-01-14 15:30:00+00:00,2026-01
14,JPN225,BUY,2026-01-15 12:30:00+00:00,54416.0,54228.509762801354,54678.4863320781,54790.98047439729,54228.509762801354,187.49023719864502,262.48633207810303,374.98047439729004,0.41,0.2,0.21,False,False,5192.02,2026-01-15 14:10:00+00:00,54228.509762801354,SL,100.0,-52.05,5139.97,2026-01-15 12:30:00+00:00,2026-01
15,JPN225,SELL,2026-01-16 16:55:00+00:00,53645.0,53790.892433673354,53440.7505928573,53353.215132653284,53645.0,145.892433673358,204.2494071427012,291.784867346716,0.53,0.27,0.26,True,False,5139.97,2026-01-18 22:05:00+00:00,53533.0,EOD_EXIT,3190.0,52.2,5192.17,2026-01-16 16:55:00+00:00,2026-01
16,JPN225,SELL,2026-01-19 08:20:00+00:00,53437.0,53609.569972407226,53195.40203862988,53091.86005518555,53609.569972407226,172.56997240722683,241.59796137011753,345.13994481445366,0.45,0.23,0.22,False,False,5192.17,2026-01-19 12:35:00+00:00,53609.569972407226,SL,255.0,-52.25,5139.92,2026-01-19 08:20:00+00:00,2026-01
17,JPN225,SELL,2026-01-19 15:20:00+00:00,53464.0,53624.324548003686,53239.54563279484,53143.350903992636,53624.324548003686,160.32454800368276,224.45436720515585,320.64909600736553,0.48,0.24,0.24,False,False,5139.92,2026-01-19 22:00:00+00:00,53504.0,EOD_EXIT,400.0,-14.9,5125.02,2026-01-19 15:20:00+00:00,2026-01
18,JPN225,SELL,2026-01-20 12:05:00+00:00,52138.0,52352.57096891907,51837.600643513295,51708.85806216185,52352.57096891907,214.57096891907293,300.39935648670206,429.14193783814585,0.36,0.18,0.18,False,False,5125.02,2026-01-20 14:30:00+00:00,52352.57096891907,SL,145.0,-51.8,5073.22,2026-01-20 12:05:00+00:00,2026-01
19,JPN225,SELL,2026-01-20 16:40:00+00:00,52310.0,52536.473355979215,51992.93730162909,51857.05328804156,52536.473355979215,226.47335597921813,317.06269837090537,452.94671195843625,0.34,0.17,0.17,False,False,5073.22,2026-01-20 22:00:00+00:00,52153.0,EOD_EXIT,320.0,33.05,5106.27,2026-01-20 16:40:00+00:00,2026-01
20,JPN225,BUY,2026-01-21 07:50:00+00:00,52744.0,52512.062135512744,53068.713010282154,53207.875728974504,52512.062135512744,231.93786448725362,324.71301028215504,463.87572897450724,0.33,0.17,0.16,False,False,5106.27,2026-01-21 08:55:00+00:00,52512.062135512744,SL,65.0,-51.65,5054.62,2026-01-21 07:50:00+00:00,2026-01
21,JPN225,BUY,2026-01-21 17:40:00+00:00,52821.0,52573.400942842614,53167.63868002033,53316.198114314764,52821.0,247.59905715738236,346.6386800203353,495.1981143147647,0.31,0.15,0.16,True,False,5054.62,2026-01-21 18:35:00+00:00,53316.198114314764,FULL_TP2,55.0,83.87,5138.48,2026-01-21 17:40:00+00:00,2026-01
