trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
1,SPX500,BUY,2026-01-02 14:00:00+00:00,6895.5,6886.177275866908,6908.55181378633,6914.145448266186,6886.177275866908,9.322724133092665,13.05181378632973,18.64544826618533,5.36,2.68,2.68,False,False,5000.0,2026-01-02 14:10:00+00:00,6886.177275866908,10.0,SL,-76.8,4923.2,2026-01-02 14:00:00+00:00,2026-01
2,SPX500,BUY,2026-01-05 07:10:00+00:00,6878.8,6867.234141384161,6894.992202062174,6901.931717231678,6878.8,11.56585861583862,16.192202062174065,23.13171723167724,4.32,2.16,2.16,True,False,4923.2,2026-01-05 13:30:00+00:00,6901.931717231678,380.0,FULL_TP2,63.34,4986.54,2026-01-05 07:10:00+00:00,2026-01
3,SPX500,BUY,2026-01-05 17:45:00+00:00,6918.2,6905.4029052057085,6936.115932712008,6943.794189588582,6905.4029052057085,12.797094794291144,17.9159327120076,25.59418958858229,3.91,1.96,1.95,False,False,4986.54,2026-01-05 18:40:00+00:00,6905.4029052057085,55.0,SL,-69.55,4916.99,2026-01-05 17:45:00+00:00,2026-01
4,SPX500,BUY,2026-01-06 16:00:00+00:00,6924.8,6913.539902628638,6940.564136319908,6947.320194742726,6924.8,11.260097371362699,15.764136319907777,22.520194742725398,4.44,2.22,2.22,True,False,4916.99,2026-01-06 17:45:00+00:00,6947.320194742726,105.0,FULL_TP2,62.79,4979.78,2026-01-06 16:00:00+00:00,2026-01
5,SPX500,BUY,2026-01-07 14:50:00+00:00,6955.1,6947.823443341097,6965.287179322464,6969.653113317806,6955.1,7.276556658902797,10.187179322463914,14.553113317805593,6.87,3.44,3.43,True,False,4979.78,2026-01-07 16:05:00+00:00,6969.653113317806,75.0,FULL_TP2,50.61,5030.39,2026-01-07 14:50:00+00:00,2026-01
6,SPX500,SELL,2026-01-08 08:35:00+00:00,6912.3,6922.1855122330335,6898.460282873753,6892.528975533934,6922.1855122330335,9.88551223303313,13.839717126246383,19.77102446606626,5.06,2.53,2.53,False,False,5030.39,2026-01-08 12:20:00+00:00,6922.1855122330335,225.0,SL,-75.3,4955.09,2026-01-08 08:35:00+00:00,2026-01
7,SPX500,BUY,2026-01-09 14:20:00+00:00,6954.3,6943.926895241212,6968.822346662304,6975.046209517576,6943.926895241212,10.373104758788235,14.522346662303528,20.74620951757647,4.82,2.41,2.41,False,False,4955.09,2026-01-09 14:45:00+00:00,6943.926895241212,25.0,SL,-74.1,4880.99,2026-01-09 14:20:00+00:00,2026-01
8,SPX500,SELL,2026-01-12 07:15:00+00:00,6927.0,6938.211509749863,6911.303886350192,6904.576980500275,6938.211509749863,11.211509749862593,15.696113649807629,22.423019499725186,4.46,2.23,2.23,False,False,4880.99,2026-01-12 13:30:00+00:00,6938.211509749863,375.0,SL,-72.3,4808.69,2026-01-12 07:15:00+00:00,2026-01
9,SPX500,BUY,2026-01-13 08:10:00+00:00,6978.1,6970.111309838342,6989.284166226322,6994.077380323316,6970.111309838342,7.988690161657978,11.184166226321167,15.977380323315955,6.26,3.13,3.13,False,False,4808.69,2026-01-13 09:15:00+00:00,6970.111309838342,65.0,SL,-81.3,4727.39,2026-01-13 08:10:00+00:00,2026-01
10,SPX500,BUY,2026-01-13 10:50:00+00:00,6976.2,6968.444445727958,6987.057775980858,6991.711108544084,6968.444445727958,7.755554272041792,10.857775980858507,15.511108544083584,6.45,3.23,3.22,False,False,4727.39,2026-01-13 12:30:00+00:00,6991.711108544084,100.0,FULL_TP2,52.77,4780.16,2026-01-13 10:50:00+00:00,2026-01
11,SPX500,BUY,2026-01-13 15:40:00+00:00,6976.0,6964.877877870215,6991.570970981698,6998.244244259569,6964.877877870215,11.122122129784506,15.570970981698308,22.24424425956901,4.5,2.25,2.25,False,False,4780.16,2026-01-13 16:30:00+00:00,6964.877877870215,50.0,SL,-72.5,4707.66,2026-01-13 15:40:00+00:00,2026-01
12,SPX500,SELL,2026-01-14 12:00:00+00:00,6940.8,6951.661105704792,6925.594452013291,6919.077788590415,6940.8,10.861105704792246,15.205547986709144,21.722211409584492,4.6,2.3,2.3,True,False,4707.66,2026-01-14 13:55:00+00:00,6919.077788590415,115.0,FULL_TP2,61.93,4769.59,2026-01-14 12:00:00+00:00,2026-01
13,SPX500,BUY,2026-01-15 11:45:00+00:00,6959.2,6947.05715996965,6976.19997604249,6983.4856800607,6959.2,12.142840030350095,16.999976042490132,24.28568006070019,4.12,2.06,2.06,True,False,4769.59,2026-01-15 15:50:00+00:00,6983.4856800607,245.0,FULL_TP2,64.45,4834.04,2026-01-15 11:45:00+00:00,2026-01
14,SPX500,BUY,2026-01-15 17:25:00+00:00,6979.7,6966.996224329885,6997.485285938161,7005.107551340229,6966.996224329885,12.703775670114865,17.78528593816081,25.40755134022973,3.94,1.97,1.97,False,False,4834.04,2026-01-15 18:25:00+00:00,6966.996224329885,60.0,SL,-69.7,4764.34,2026-01-15 17:25:00+00:00,2026-01
