trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,net_pnl,ending_balance,entry_dt,month
1,UK100,BUY,2026-01-02 07:05:00+00:00,9992.0,9975.320671307763,10015.351060169132,10025.358657384475,9992.0,16.67932869223749,23.351060169132484,33.35865738447498,0.22,0.11,0.11,True,False,5000.0,2026-01-02 07:25:00+00:00,10025.358657384475,FULL_TP2,20.0,83.44,5083.44,2026-01-02 07:05:00+00:00,2026-01
2,UK100,BUY,2026-01-02 11:05:00+00:00,10005.0,9978.478782101754,10042.129705057543,10058.042435796491,9978.478782101754,26.5212178982454,37.12970505754356,53.0424357964908,0.14,0.07,0.07,False,False,5083.44,2026-01-02 13:55:00+00:00,9978.478782101754,SL,170.0,-50.7,5032.74,2026-01-02 11:05:00+00:00,2026-01
3,UK100,BUY,2026-01-05 06:10:00+00:00,10041.6,10023.663097432072,10066.711663595099,10077.473805135856,10023.663097432072,17.936902567927913,25.111663595099078,35.873805135855825,0.21,0.1,0.11,False,False,5032.74,2026-01-05 07:00:00+00:00,10023.663097432072,SL,50.0,-51.05,4981.69,2026-01-05 06:10:00+00:00,2026-01
4,UK100,BUY,2026-01-06 07:10:00+00:00,10066.9,10052.848212050068,10086.572503129903,10095.003575899862,10066.9,14.051787949931265,19.67250312990377,28.10357589986253,0.26,0.13,0.13,True,False,4981.69,2026-01-06 10:10:00+00:00,10095.003575899862,FULL_TP2,180.0,82.88,5064.57,2026-01-06 07:10:00+00:00,2026-01
5,UK100,BUY,2026-01-06 18:10:00+00:00,10143.9,10122.945256997027,10173.23664020416,10185.809486005945,10122.945256997027,20.954743002972037,29.33664020416085,41.909486005944075,0.18,0.09,0.09,False,False,5064.57,2026-01-06 19:55:00+00:00,10122.945256997027,SL,105.0,-50.9,5013.67,2026-01-06 18:10:00+00:00,2026-01
6,UK100,SELL,2026-01-07 16:00:00+00:00,10056.4,10074.130614255653,10031.577140042084,10020.938771488693,10074.130614255653,17.730614255653705,24.822859957915185,35.46122851130741,0.21,0.1,0.11,False,False,5013.67,2026-01-07 22:00:00+00:00,10045.5,EOD_EXIT,360.0,29.97,5043.64,2026-01-07 16:00:00+00:00,2026-01
7,UK100,SELL,2026-01-08 11:05:00+00:00,10026.9,10042.164778060596,10005.529310715165,9996.370443878808,10042.164778060596,15.264778060595972,21.37068928483436,30.529556121191945,0.24,0.12,0.12,False,False,5043.64,2026-01-08 13:30:00+00:00,10042.164778060596,SL,145.0,-51.2,4992.44,2026-01-08 11:05:00+00:00,2026-01
8,UK100,BUY,2026-01-08 18:00:00+00:00,10063.5,10046.688952487182,10087.035466517944,10097.122095025634,10063.5,16.81104751281709,23.535466517943924,33.62209502563418,0.22,0.11,0.11,True,False,4992.44,2026-01-08 20:40:00+00:00,10097.122095025634,FULL_TP2,160.0,84.11,5076.56,2026-01-08 18:00:00+00:00,2026-01
9,UK100,BUY,2026-01-09 07:00:00+00:00,10085.0,10071.815796993496,10103.457884209105,10111.368406013005,10085.0,13.184203006503092,18.45788420910433,26.368406013006183,0.28,0.14,0.14,True,False,5076.56,2026-01-09 09:50:00+00:00,10111.368406013005,FULL_TP2,170.0,83.65,5160.21,2026-01-09 07:00:00+00:00,2026-01
10,UK100,BUY,2026-01-09 18:50:00+00:00,10152.8,10135.876134414351,10176.493411819907,10186.647731171295,10135.876134414351,16.923865585648116,23.69341181990736,33.84773117129623,0.22,0.11,0.11,False,False,5160.21,2026-01-11 22:00:00+00:00,10135.876134414351,SL,3070.0,-51.1,5109.11,2026-01-09 18:50:00+00:00,2026-01
11,UK100,BUY,2026-01-12 07:55:00+00:00,10132.9,10118.945090220514,10152.436873691278,10160.80981955897,10132.9,13.954909779485368,19.536873691279514,27.909819558970735,0.26,0.13,0.13,True,False,5109.11,2026-01-12 09:10:00+00:00,10132.9,TP1_THEN_BE,75.0,33.12,5142.23,2026-01-12 07:55:00+00:00,2026-01
12,UK100,BUY,2026-01-13 07:50:00+00:00,10164.3,10152.071417989566,10181.420014814606,10188.757164020866,10152.071417989566,12.22858201043341,17.120014814606773,24.45716402086682,0.3,0.15,0.15,False,False,5142.23,2026-01-13 08:30:00+00:00,10152.071417989566,SL,40.0,-51.5,5090.73,2026-01-13 07:50:00+00:00,2026-01
13,UK100,BUY,2026-01-13 08:55:00+00:00,10167.6,10154.87345956174,10185.417156613565,10193.05308087652,10154.87345956174,12.726540438259647,17.817156613563505,25.453080876519294,0.29,0.14,0.15,False,False,5090.73,2026-01-13 09:05:00+00:00,10154.87345956174,SL,10.0,-51.45,5039.28,2026-01-13 08:55:00+00:00,2026-01
14,UK100,BUY,2026-01-13 11:45:00+00:00,10160.3,10146.721461609746,10179.309953746355,10187.457076780507,10146.721461609746,13.578538390253788,19.009953746355304,27.157076780507577,0.27,0.14,0.13,False,False,5039.28,2026-01-13 12:50:00+00:00,10146.721461609746,SL,65.0,-51.35,4987.93,2026-01-13 11:45:00+00:00,2026-01
15,UK100,BUY,2026-01-13 17:35:00+00:00,10168.8,10151.507839937423,10193.009024087605,10203.38432012515,10151.507839937423,17.292160062575093,24.20902408760513,34.584320125150185,0.21,0.1,0.11,False,False,4987.93,2026-01-13 22:00:00+00:00,10166.4,EOD_EXIT,265.0,-7.88,4980.05,2026-01-13 17:35:00+00:00,2026-01
16,UK100,BUY,2026-01-14 06:00:00+00:00,10168.9,10156.21594627811,10186.657675210645,10194.268107443779,10168.9,12.684053721889857,17.757675210645797,25.368107443779714,0.29,0.14,0.15,True,False,4980.05,2026-01-14 09:55:00+00:00,10194.268107443779,FULL_TP2,235.0,83.82,5063.87,2026-01-14 06:00:00+00:00,2026-01
17,UK100,BUY,2026-01-14 10:45:00+00:00,10188.1,10174.734393004193,10206.811849794129,10214.831213991612,10174.734393004193,13.365606995806173,18.711849794128643,26.731213991612346,0.28,0.14,0.14,False,False,5063.87,2026-01-14 14:35:00+00:00,10174.734393004193,SL,230.0,-51.4,5012.47,2026-01-14 10:45:00+00:00,2026-01
18,UK100,BUY,2026-01-14 15:00:00+00:00,10187.1,10172.559542678844,10207.45664024962,10216.180914642315,10187.1,14.54045732115683,20.356640249619563,29.08091464231366,0.25,0.12,0.13,True,False,5012.47,2026-01-14 17:50:00+00:00,10216.180914642315,FULL_TP2,170.0,83.09,5095.56,2026-01-14 15:00:00+00:00,2026-01
19,UK100,BUY,2026-01-15 12:35:00+00:00,10251.8,10234.471592984904,10276.059769821131,10286.456814030189,10234.471592984904,17.328407015094704,24.259769821132586,34.65681403018941,0.21,0.1,0.11,False,False,5095.56,2026-01-15 22:00:00+00:00,10245.5,EOD_EXIT,565.0,-18.98,5076.58,2026-01-15 12:35:00+00:00,2026-01
20,UK100,BUY,2026-01-16 08:10:00+00:00,10251.4,10237.440465425298,10270.943348404584,10279.319069149406,10237.440465425298,13.959534574702523,19.543348404583533,27.919069149405047,0.26,0.13,0.13,False,False,5076.58,2026-01-16 09:10:00+00:00,10279.319069149406,FULL_TP2,60.0,82.32,5158.9,2026-01-16 08:10:00+00:00,2026-01
21,UK100,SELL,2026-01-19 08:20:00+00:00,10200.4,10222.472204366924,10169.498913886304,10156.255591266148,10222.472204366924,22.072204366925515,30.90108611369572,44.14440873385103,0.17,0.09,0.08,False,False,5158.9,2026-01-19 12:35:00+00:00,10222.472204366924,SL,255.0,-50.85,5108.05,2026-01-19 08:20:00+00:00,2026-01
