trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
1,US30,BUY,2026-01-05 07:10:00+00:00,48459.3,48375.740395550805,48576.283446228874,48626.41920889839,48375.740395550805,83.55960444919499,116.98344622887298,167.11920889838999,0.06,0.03,0.03,False,False,5000.0,2026-01-05 12:05:00+00:00,48375.740395550805,295.0,SL,-50.3,4949.7,2026-01-05 07:10:00+00:00,2026-01
2,US30,SELL,2026-01-08 08:30:00+00:00,48915.3,48983.89980248638,48819.26027651907,48778.10039502724,48915.3,68.5998024863805,96.0397234809327,137.199604972761,0.07,0.04,0.03,True,False,4949.7,2026-01-08 13:30:00+00:00,48915.3,300.0,TP1_THEN_BE,38.07,4987.77,2026-01-08 08:30:00+00:00,2026-01
3,US30,BUY,2026-01-08 19:30:00+00:00,49314.1,49221.091214028034,49444.31230036075,49500.11757194393,49221.091214028034,93.0087859719646,130.21230036075042,186.0175719439292,0.05,0.03,0.02,False,False,4987.77,2026-01-08 22:00:00+00:00,49380.6,150.0,EOD_EXIT,33.0,5020.77,2026-01-08 19:30:00+00:00,2026-01
4,US30,BUY,2026-01-09 07:05:00+00:00,49306.1,49240.659206198805,49397.717111321675,49436.98158760239,49306.1,65.44079380119658,91.6171113216752,130.88158760239315,0.08,0.04,0.04,True,False,5020.77,2026-01-09 12:35:00+00:00,49436.98158760239,330.0,FULL_TP2,88.6,5109.37,2026-01-09 07:05:00+00:00,2026-01
5,US30,BUY,2026-01-09 14:25:00+00:00,49466.1,49388.37791737074,49574.910915680965,49621.54416525852,49388.37791737074,77.72208262926124,108.81091568096572,155.44416525852247,0.06,0.03,0.03,False,False,5109.37,2026-01-09 14:40:00+00:00,49388.37791737074,15.0,SL,-50.3,5059.07,2026-01-09 14:25:00+00:00,2026-01
6,US30,BUY,2026-01-09 17:35:00+00:00,49548.3,49448.72335439633,49687.70730384515,49747.453291207356,49448.72335439633,99.57664560367564,139.4073038451459,199.1532912073513,0.05,0.03,0.02,False,False,5059.07,2026-01-11 22:00:00+00:00,49448.72335439633,3145.0,SL,-50.25,5008.82,2026-01-09 17:35:00+00:00,2026-01
7,US30,SELL,2026-01-12 06:30:00+00:00,49294.9,49369.08256664296,49191.04440669986,49146.53486671408,49294.9,74.18256664296023,103.8555933001443,148.36513328592045,0.07,0.04,0.03,True,False,5008.82,2026-01-12 10:00:00+00:00,49146.53486671408,210.0,FULL_TP2,85.7,5094.52,2026-01-12 06:30:00+00:00,2026-01
8,US30,SELL,2026-01-14 12:10:00+00:00,49076.1,49147.500350438226,48976.13950938648,48933.299299123544,49147.500350438226,71.400350438228,99.9604906135192,142.800700876456,0.07,0.04,0.03,False,False,5094.52,2026-01-14 13:30:00+00:00,49147.500350438226,80.0,SL,-50.35,5044.17,2026-01-14 12:10:00+00:00,2026-01
9,US30,SELL,2026-01-14 14:00:00+00:00,49021.6,49102.11662869419,48908.876719828135,48860.56674261163,49102.11662869419,80.5166286941865,112.72328017186108,161.033257388373,0.06,0.03,0.03,False,False,5044.17,2026-01-14 14:10:00+00:00,49102.11662869419,10.0,SL,-50.3,4993.87,2026-01-14 14:00:00+00:00,2026-01
10,US30,SELL,2026-01-14 14:25:00+00:00,49022.6,49103.11662869419,48909.876719828135,48861.56674261163,49103.11662869419,80.5166286941865,112.72328017186108,161.033257388373,0.06,0.03,0.03,False,False,4993.87,2026-01-14 15:20:00+00:00,49103.11662869419,55.0,SL,-50.3,4943.57,2026-01-14 14:25:00+00:00,2026-01
11,US30,SELL,2026-01-14 15:45:00+00:00,48954.3,49048.43686950175,48822.50838269756,48766.026260996514,49048.43686950175,94.13686950174491,131.79161730244286,188.27373900348982,0.05,0.03,0.02,False,False,4943.57,2026-01-14 17:50:00+00:00,49048.43686950175,125.0,SL,-50.25,4893.32,2026-01-14 15:45:00+00:00,2026-01
