trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
1,US30,BUY,2026-01-05 07:10:00+00:00,48459.3,48392.45231644065,48539.51722027123,48579.62583040685,48392.45231644065,66.847683559356,80.21722027122719,120.3258304068408,0.07,0.04,0.03,False,False,False,5000.0,2026-01-05 11:30:00+00:00,48392.45231644065,260.0,SL,0.0,0.0,0.35,-50.35,4949.65
2,US30,SELL,2026-01-08 08:30:00+00:00,48915.3,48970.179841989106,48849.44418961308,48816.51628441962,48915.3,54.8798419891044,65.85581038692527,98.7837155803879,0.09,0.04,0.05,True,False,False,4949.65,2026-01-08 13:25:00+00:00,48816.51628441962,295.0,FULL_TP2,26.34,49.39,0.45,75.28,5024.93
3,US30,BUY,2026-01-08 19:30:00+00:00,49314.1,49239.69297122243,49403.38843453309,49448.03265179963,49239.69297122243,74.40702877757168,89.28843453308602,133.932651799629,0.07,0.04,0.03,False,False,False,5024.93,2026-01-08 22:00:00+00:00,49380.6,150.0,EOD_CLOSE,26.6,19.95,0.35,46.2,5071.13
4,US30,BUY,2026-01-09 07:05:00+00:00,49306.1,49253.74736495904,49368.92316204915,49400.33474307372,49253.74736495904,52.35263504095727,62.82316204914872,94.23474307372307,0.1,0.05,0.05,False,False,False,5071.13,2026-01-09 07:50:00+00:00,49253.74736495904,45.0,SL,0.0,0.0,0.5,-50.5,5020.63
5,US30,BUY,2026-01-09 08:30:00+00:00,49298.1,49246.046838890536,49360.56379333135,49391.79568999703,49298.1,52.05316110946057,62.463793331352676,93.695689997029,0.1,0.05,0.05,True,False,False,5020.63,2026-01-09 12:30:00+00:00,49391.79568999703,240.0,FULL_TP2,31.23,46.85,0.5,77.58,5098.21
6,US30,BUY,2026-01-09 14:25:00+00:00,49466.1,49403.92233389659,49540.71319932409,49578.01979898613,49403.92233389659,62.177666103408995,74.61319932409079,111.91979898613619,0.08,0.04,0.04,False,False,False,5098.21,2026-01-09 14:40:00+00:00,49403.92233389659,15.0,SL,0.0,0.0,0.4,-50.4,5047.81
7,US30,BUY,2026-01-09 17:35:00+00:00,49548.3,49468.63868351706,49643.893579779535,49691.6903696693,49468.63868351706,79.66131648294052,95.59357977952862,143.39036966929294,0.06,0.03,0.03,False,False,False,5047.81,2026-01-11 22:00:00+00:00,49468.63868351706,3145.0,SL,0.0,0.0,0.3,-50.3,4997.51
8,US30,SELL,2026-01-12 06:30:00+00:00,49294.9,49354.24605331437,49223.68473602276,49188.077104034135,49294.9,59.346053314368184,71.21526397724182,106.82289596586273,0.08,0.04,0.04,True,False,False,4997.51,2026-01-12 08:10:00+00:00,49188.077104034135,100.0,FULL_TP2,28.49,42.73,0.4,70.82,5068.33
9,US30,SELL,2026-01-14 12:10:00+00:00,49076.1,49133.22028035058,49007.5556635793,48973.28349536895,49133.22028035058,57.120280350582405,68.54433642069888,102.81650463104832,0.09,0.04,0.05,False,False,False,5068.33,2026-01-14 13:30:00+00:00,49133.22028035058,80.0,SL,0.0,0.0,0.45,-50.45,5017.88
10,US30,SELL,2026-01-14 14:00:00+00:00,49021.6,49086.01330295535,48944.30403645358,48905.65605468037,49086.01330295535,64.4133029553492,77.29596354641903,115.94394531962854,0.08,0.04,0.04,False,False,False,5017.88,2026-01-14 14:10:00+00:00,49086.01330295535,10.0,SL,0.0,0.0,0.4,-50.4,4967.48
11,US30,SELL,2026-01-14 14:25:00+00:00,49022.6,49087.01330295535,48945.30403645358,48906.65605468037,49022.6,64.4133029553492,77.29596354641903,115.94394531962854,0.08,0.04,0.04,True,False,False,4967.48,2026-01-14 14:40:00+00:00,49022.6,15.0,TP1_THEN_BE,30.92,0.0,0.4,30.52,4998.0
12,US30,SELL,2026-01-14 15:45:00+00:00,48954.3,49029.6094956014,48863.92860527833,48818.74290791749,49029.6094956014,75.30949560139594,90.37139472167512,135.55709208251267,0.07,0.04,0.03,False,False,False,4998.0,2026-01-14 17:30:00+00:00,49029.6094956014,105.0,SL,0.0,0.0,0.35,-50.35,4947.65
13,US30,SELL,2026-01-14 17:35:00+00:00,48955.3,49041.36135079917,48852.02637904101,48800.389568561506,49041.36135079917,86.0613507991633,103.27362095899596,154.91043143849393,0.06,0.03,0.03,False,False,False,4947.65,2026-01-14 17:50:00+00:00,49041.36135079917,15.0,SL,0.0,0.0,0.3,-50.3,4897.35
14,US30,BUY,2026-01-15 07:55:00+00:00,49175.3,49109.35213543764,49254.43743747483,49294.00615621224,49175.3,65.9478645623571,79.13743747482852,118.70615621224276,0.08,0.04,0.04,True,False,False,4897.35,2026-01-15 11:25:00+00:00,49294.00615621224,210.0,FULL_TP2,31.65,47.48,0.4,78.74,4976.09
15,US30,BUY,2026-01-16 06:05:00+00:00,49568.9,49514.57212961142,49634.09344446629,49666.690166699445,49514.57212961142,54.32787038857816,65.1934444662938,97.79016669944069,0.09,0.04,0.05,False,False,False,4976.09,2026-01-16 08:55:00+00:00,49514.57212961142,170.0,SL,0.0,0.0,0.45,-50.45,4925.64
