trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
1,XAGUSD,BUY,2026-01-02 06:50:00+00:00,73.918,72.90188128292276,75.34056620390815,75.95023743415452,72.90188128292276,1.016118717077252,1.4225662039081528,2.032237434154504,0.01,0.01,0.0,False,False,5000.0,2026-01-02 14:20:00+00:00,72.90188128292276,450.0,SL,-50.05,4949.95,2026-01-02 06:50:00+00:00,2026-01
2,XAGUSD,BUY,2026-01-05 12:30:00+00:00,75.568,74.8177101774809,76.61840575152672,77.06857964503817,75.568,0.750289822519089,1.0504057515267247,1.500579645038178,0.01,0.01,0.0,True,False,4949.95,2026-01-05 14:45:00+00:00,77.06857964503817,135.0,FULL_TP2,52.47,5002.42,2026-01-05 12:30:00+00:00,2026-01
3,XAGUSD,BUY,2026-01-05 20:10:00+00:00,76.416,75.5887551193045,77.5741428329737,78.07048976139102,75.5887551193045,0.8272448806955097,1.1581428329737136,1.6544897613910194,0.01,0.01,0.0,False,False,5002.42,2026-01-05 22:00:00+00:00,76.6,110.0,EOD_EXIT,9.15,5011.57,2026-01-05 20:10:00+00:00,2026-01
4,XAGUSD,BUY,2026-01-06 10:25:00+00:00,78.067,77.22216616188537,79.24976737336047,79.75666767622926,78.067,0.8448338381146312,1.1827673733604835,1.6896676762292624,0.01,0.01,0.0,True,False,5011.57,2026-01-06 13:45:00+00:00,79.75666767622926,200.0,FULL_TP2,59.09,5070.66,2026-01-06 10:25:00+00:00,2026-01
5,XAGUSD,BUY,2026-01-06 19:40:00+00:00,80.738,79.80938043857586,82.0380673859938,82.59523912284828,79.80938043857586,0.9286195614241446,1.3000673859938023,1.8572391228482892,0.01,0.01,0.0,False,False,5070.66,2026-01-06 22:00:00+00:00,81.352,140.0,EOD_EXIT,30.65,5101.31,2026-01-06 19:40:00+00:00,2026-01
6,XAGUSD,SELL,2026-01-07 10:30:00+00:00,79.312,80.3662368257895,77.8360684438947,77.20352634842101,79.312,1.0542368257894958,1.4759315561052941,2.1084736515789917,0.01,0.01,0.0,True,False,5101.31,2026-01-07 12:35:00+00:00,77.20352634842101,125.0,FULL_TP2,73.75,5175.06,2026-01-07 10:30:00+00:00,2026-01
7,XAGUSD,SELL,2026-01-07 18:15:00+00:00,77.824,78.95020902093138,76.24730737069605,75.57158195813722,78.95020902093138,1.1262090209313904,1.5766926293039465,2.252418041862781,0.01,0.01,0.0,False,False,5175.06,2026-01-07 22:00:00+00:00,78.386,225.0,EOD_EXIT,-28.15,5146.91,2026-01-07 18:15:00+00:00,2026-01
8,XAGUSD,SELL,2026-01-08 10:05:00+00:00,75.647,76.6384116040198,74.2590237543723,73.66417679196043,75.647,0.9914116040197894,1.3879762456277052,1.982823208039579,0.01,0.01,0.0,True,False,5146.91,2026-01-08 14:30:00+00:00,75.647,265.0,TP1_THEN_BE,69.35,5216.25,2026-01-08 10:05:00+00:00,2026-01
9,XAGUSD,SELL,2026-01-08 17:15:00+00:00,75.536,76.54671285815367,74.12100199858487,73.51457428369267,76.54671285815367,1.0107128581536668,1.4149980014151335,2.0214257163073337,0.01,0.01,0.0,False,False,5216.25,2026-01-08 19:30:00+00:00,76.54671285815367,135.0,SL,-50.05,5166.2,2026-01-08 17:15:00+00:00,2026-01
10,XAGUSD,BUY,2026-01-09 11:00:00+00:00,78.172,77.38481901078218,79.27405338490493,79.74636197843562,77.38481901078218,0.7871809892178108,1.102053384904935,1.5743619784356215,0.01,0.01,0.0,False,False,5166.2,2026-01-09 11:40:00+00:00,77.38481901078218,40.0,SL,-50.05,5116.15,2026-01-09 11:00:00+00:00,2026-01
