trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,net_pnl,ending_balance,entry_dt,month
1,XTIUSD,SELL,2026-01-02 07:25:00+00:00,57.54,57.72965664472684,57.27448069738242,57.16068671054632,57.72965664472684,0.18965664472683832,0.2655193026175736,0.37931328945367665,26.36,13.18,13.18,False,False,5000.0,2026-01-02 07:55:00+00:00,57.16068671054632,FULL_TP2,30.0,-46.81,4953.19,2026-01-02 07:25:00+00:00,2026-01
2,XTIUSD,SELL,2026-01-02 10:30:00+00:00,57.14,57.37563981358049,56.810104260987316,56.66872037283902,57.14,0.23563981358048977,0.32989573901268565,0.47127962716097954,21.22,10.61,10.61,True,False,4953.19,2026-01-02 13:00:00+00:00,56.66872037283902,FULL_TP2,150.0,-21.1,4932.09,2026-01-02 10:30:00+00:00,2026-01
3,XTIUSD,SELL,2026-01-02 15:20:00+00:00,56.62,56.885382417489254,56.24846461551504,56.08923516502149,56.885382417489254,0.2653824174892543,0.371535384484956,0.5307648349785086,18.84,9.42,9.42,False,False,4932.09,2026-01-02 16:15:00+00:00,56.885382417489254,SL,55.0,-144.2,4787.89,2026-01-02 15:20:00+00:00,2026-01
4,XTIUSD,BUY,2026-01-05 14:30:00+00:00,57.84,57.51237423947815,58.2986760647306,58.49525152104372,57.51237423947815,0.3276257605218569,0.4586760647305996,0.6552515210437138,15.26,7.63,7.63,False,False,4787.89,2026-01-05 22:00:00+00:00,57.97,EOD_EXIT,450.0,-56.46,4731.43,2026-01-05 14:30:00+00:00,2026-01
5,XTIUSD,BUY,2026-01-06 11:55:00+00:00,58.34,58.06535760589579,58.7244993517459,58.88928478820843,58.06535760589579,0.27464239410421176,0.38449935174589644,0.5492847882084235,18.21,9.11,9.1,False,False,4731.43,2026-01-06 13:55:00+00:00,58.06535760589579,SL,120.0,-141.05,4590.38,2026-01-06 11:55:00+00:00,2026-01
6,XTIUSD,SELL,2026-01-07 06:40:00+00:00,56.09,56.410027843398204,55.64196101924252,55.4499443132036,56.410027843398204,0.32002784339819895,0.4480389807574785,0.6400556867963979,15.62,7.81,7.81,False,False,4590.38,2026-01-07 07:35:00+00:00,56.410027843398204,SL,55.0,-128.1,4462.28,2026-01-07 06:40:00+00:00,2026-01
7,XTIUSD,SELL,2026-01-07 08:55:00+00:00,56.2,56.5146668649709,55.759466389040746,55.57066627005821,56.5146668649709,0.3146668649708962,0.44053361095925464,0.6293337299417924,15.89,7.95,7.94,False,False,4462.28,2026-01-07 09:20:00+00:00,56.5146668649709,SL,25.0,-129.45,4332.83,2026-01-07 08:55:00+00:00,2026-01
8,XTIUSD,SELL,2026-01-08 06:30:00+00:00,56.08,56.32557994420215,55.73618807811699,55.5888401115957,56.32557994420215,0.2455799442021498,0.3438119218830097,0.4911598884042996,20.36,10.18,10.18,False,False,4332.83,2026-01-08 08:45:00+00:00,56.32557994420215,SL,135.0,-151.8,4181.03,2026-01-08 06:30:00+00:00,2026-01
9,XTIUSD,BUY,2026-01-08 15:15:00+00:00,56.92,56.653202546391704,57.293516435051615,57.4535949072166,56.92,0.26679745360829704,0.37351643505161586,0.5335949072165941,18.74,9.37,9.37,True,False,4181.03,2026-01-08 17:45:00+00:00,57.4535949072166,FULL_TP2,150.0,-8.7,4172.33,2026-01-08 15:15:00+00:00,2026-01
10,XTIUSD,BUY,2026-01-09 12:00:00+00:00,58.13,57.86498483744215,58.50102122758099,58.6600303251157,57.86498483744215,0.26501516255784857,0.371021227580988,0.5300303251156971,18.87,9.44,9.43,False,False,4172.33,2026-01-09 13:15:00+00:00,58.6600303251157,FULL_TP2,75.0,-9.34,4162.98,2026-01-09 12:00:00+00:00,2026-01
11,XTIUSD,BUY,2026-01-13 07:40:00+00:00,59.75,59.445619800083506,60.1761322798831,60.358760399832995,59.75,0.30438019991649673,0.4261322798830954,0.6087603998329935,16.43,8.21,8.22,True,False,4162.98,2026-01-13 08:35:00+00:00,60.358760399832995,FULL_TP2,55.0,2.88,4165.86,2026-01-13 07:40:00+00:00,2026-01
