Symbol,Session Filter,Trades,Win Rate (%),Profit Factor,Net R,Max DD (R)
GBPJPY,London Only (07-16 UTC),60,43.3,1.53,18.0,15.0
GBPJPY,London + NY Liquid (07-20 UTC),102,36.3,1.18,11.5,22.2
GBPJPY,24/5 All Day,122,35.2,1.13,9.9,20.8
GBPJPY,NY Only (12:30-20 UTC),65,32.3,1.01,0.5,17.0
NAS100,24/5 All Day,147,31.3,1.07,6.2,23.3
NAS100,NY Only (12:30-20 UTC),90,31.1,1.06,3.3,19.4
NAS100,London + NY Liquid (07-20 UTC),107,29.9,0.98,-1.7,20.5
NAS100,London Only (07-16 UTC),41,29.3,0.87,-3.7,8.7
US30,24/5 All Day,170,32.4,1.03,3.5,21.2
US30,NY Only (12:30-20 UTC),115,30.4,0.94,-4.4,17.1
US30,London + NY Liquid (07-20 UTC),128,29.7,0.9,-8.4,20.1
US30,London Only (07-16 UTC),44,20.5,0.51,-17.0,19.0
XAUUSD,24/5 All Day,140,34.3,1.11,9.9,27.9
XAUUSD,NY Only (12:30-20 UTC),82,32.9,1.06,3.3,20.6
XAUUSD,London + NY Liquid (07-20 UTC),104,30.8,0.95,-3.8,29.6
XAUUSD,London Only (07-16 UTC),41,31.7,0.93,-2.0,14.0
