config,month,kz_trades,kz_pnl,non_kz_pnl,kz_verdict
3_SweepON_Full_Session_No_KZ_Block,2026-01,7,44.22,268.03,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-02,6,129.23,606.0,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-03,5,183.8,125.35,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-04,7,150.45,-417.21,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-05,5,7.09,670.4,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-06,5,46.72,672.43,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-07,4,97.08,371.85,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-08,2,33.44,-5.83,PROFITABLE (Keep)
3_SweepON_Full_Session_No_KZ_Block,2026-09,0,0.0,93.58,DESTRUCTIVE (Block)
4_SweepOFF_Full_Session_No_KZ_Block,2026-01,6,3.46,553.61,PROFITABLE (Keep)
4_SweepOFF_Full_Session_No_KZ_Block,2026-02,3,13.15,200.97,PROFITABLE (Keep)
4_SweepOFF_Full_Session_No_KZ_Block,2026-03,5,35.48,319.46,PROFITABLE (Keep)
4_SweepOFF_Full_Session_No_KZ_Block,2026-04,9,-55.01,-38.55,DESTRUCTIVE (Block)
4_SweepOFF_Full_Session_No_KZ_Block,2026-05,8,411.61,663.45,PROFITABLE (Keep)
4_SweepOFF_Full_Session_No_KZ_Block,2026-06,7,-56.6,355.25,DESTRUCTIVE (Block)
4_SweepOFF_Full_Session_No_KZ_Block,2026-07,3,125.8,279.99,PROFITABLE (Keep)
4_SweepOFF_Full_Session_No_KZ_Block,2026-08,6,134.14,176.24,PROFITABLE (Keep)
4_SweepOFF_Full_Session_No_KZ_Block,2026-09,1,-52.65,370.89,DESTRUCTIVE (Block)
