symbol,total_trades,win_rate,profit_factor,net_pnl,max_dd,atr_mult,min_sl,tp1,tp2,adx,session,room2h
EURUSD,46,34.78260869565217,0.41165647833684366,-17234.14559389236,18.63703818153369,1.0,8.0,1.0,1.5,15.0,peak,False
EURUSD,43,30.23255813953488,0.49166735454910737,-15194.242123819553,17.923510452980178,1.0,8.0,1.2,1.8,15.0,peak,False
EURUSD,42,26.190476190476193,0.5378694927409329,-14235.21359937395,16.20271810677724,1.0,8.0,1.5,2.0,15.0,peak,False
EURUSD,41,36.58536585365854,0.4985135846757455,-12417.54118641754,13.901130702894474,1.0,10.0,1.0,1.5,15.0,peak,False
EURUSD,40,35.0,0.6400022154955124,-9161.008244938857,12.087004622211511,1.0,10.0,1.2,1.8,15.0,peak,False
EURUSD,38,31.57894736842105,0.58401692581709,-10390.425499389414,12.448693509733259,1.0,10.0,1.5,2.0,15.0,peak,False
EURUSD,39,38.46153846153847,0.5730848276672947,-9788.430028056813,12.265126514266207,1.0,12.0,1.0,1.5,15.0,peak,False
EURUSD,37,32.432432432432435,0.5160932831182501,-11435.387539459596,13.05794366579657,1.0,12.0,1.2,1.8,15.0,peak,False
EURUSD,37,27.027027027027028,0.48829295407671597,-12496.295417322792,13.965210397599284,1.0,12.0,1.5,2.0,15.0,peak,False
EURUSD,35,34.285714285714285,0.44157410657866963,-11930.490000000456,12.989967658803073,1.0,15.0,1.0,1.5,15.0,peak,False
EURUSD,35,31.428571428571427,0.48412806270942693,-11122.070000000836,12.407792221872068,1.0,15.0,1.2,1.8,15.0,peak,False
EURUSD,35,22.857142857142858,0.43906675313657617,-12498.350000000806,13.97615365633856,1.0,15.0,1.5,2.0,15.0,peak,False
EURUSD,43,34.883720930232556,0.4738302378672271,-14555.217885061444,16.717826171100338,1.2,8.0,1.0,1.5,15.0,peak,False
EURUSD,39,30.76923076923077,0.43091324197184405,-14995.911354388343,16.216063930236015,1.2,8.0,1.2,1.8,15.0,peak,False
EURUSD,38,26.31578947368421,0.475394307176948,-14383.61021208053,15.819995990410643,1.2,8.0,1.5,2.0,15.0,peak,False
EURUSD,40,37.5,0.5763708613207186,-10183.241575617634,12.456504625577127,1.2,10.0,1.0,1.5,15.0,peak,False
EURUSD,38,34.21052631578947,0.5710409026561001,-10176.58895016028,12.63913145797059,1.2,10.0,1.2,1.8,15.0,peak,False
EURUSD,37,29.72972972972973,0.5176947115810432,-11803.516468471353,13.71001084601559,1.2,10.0,1.5,2.0,15.0,peak,False
EURUSD,39,38.46153846153847,0.6039286511597926,-9132.64460651287,11.77107762732623,1.2,12.0,1.0,1.5,15.0,peak,False
EURUSD,37,32.432432432432435,0.4814379056604176,-12146.715598048439,13.408688709662625,1.2,12.0,1.2,1.8,15.0,peak,False
EURUSD,37,27.027027027027028,0.4889105681050447,-12472.876099617584,13.942184217382017,1.2,12.0,1.5,2.0,15.0,peak,False
EURUSD,35,34.285714285714285,0.4416874630028478,-11928.068196676104,12.98757498981268,1.2,15.0,1.0,1.5,15.0,peak,False
EURUSD,35,31.428571428571427,0.48412972217276595,-11122.83382131673,12.408544993627759,1.2,15.0,1.2,1.8,15.0,peak,False
EURUSD,35,22.857142857142858,0.4390759245299849,-12498.14564897427,13.97595275656918,1.2,15.0,1.5,2.0,15.0,peak,False
EURUSD,37,35.13513513513514,0.47168494322038884,-11908.446960035537,12.966559435725092,1.5,8.0,1.0,1.5,15.0,peak,False
EURUSD,36,33.33333333333333,0.5088647960020434,-11111.020096905107,12.39523129521725,1.5,8.0,1.2,1.8,15.0,peak,False
EURUSD,36,27.77777777777778,0.5237904280245496,-11206.957177476084,12.704882727735644,1.5,8.0,1.5,2.0,15.0,peak,False
EURUSD,37,35.13513513513514,0.47229180039482355,-11884.75993204677,12.943156924684468,1.5,10.0,1.0,1.5,15.0,peak,False
EURUSD,36,33.33333333333333,0.5093638908634872,-11091.4263728691,12.375920648789386,1.5,10.0,1.2,1.8,15.0,peak,False
EURUSD,36,27.77777777777778,0.5243632420690274,-11184.601121930245,12.682903815553079,1.5,10.0,1.5,2.0,15.0,peak,False
EURUSD,37,35.13513513513514,0.5016928669134992,-11210.392508773817,12.623033826948035,1.5,12.0,1.0,1.5,15.0,peak,False
EURUSD,36,33.33333333333333,0.5111753295205574,-11024.974856101951,12.310429181086462,1.5,12.0,1.2,1.8,15.0,peak,False
EURUSD,36,27.77777777777778,0.5098551286780661,-11496.880512215677,12.989915098533436,1.5,12.0,1.5,2.0,15.0,peak,False
EURUSD,34,35.294117647058826,0.4641879051977082,-10992.509620861427,12.063271199105607,1.5,15.0,1.0,1.5,15.0,peak,False
EURUSD,34,32.35294117647059,0.5088134734954273,-10169.602524695234,11.469103292023263,1.5,15.0,1.2,1.8,15.0,peak,False
EURUSD,34,23.52941176470588,0.4607435207016734,-11560.681346777594,13.054321163509627,1.5,15.0,1.5,2.0,15.0,peak,False
EURUSD,34,35.294117647058826,0.4679761831926754,-10936.473438695946,12.010726046167413,1.8,8.0,1.0,1.5,15.0,peak,False
EURUSD,34,29.411764705882355,0.4524703384227297,-11732.671653099518,13.012182842602488,1.8,8.0,1.2,1.8,15.0,peak,False
EURUSD,34,23.52941176470588,0.44349641071686546,-11923.94417301657,13.414025222241799,1.8,8.0,1.5,2.0,15.0,peak,False
EURUSD,34,35.294117647058826,0.4679761831926754,-10936.473438695946,12.010726046167413,1.8,10.0,1.0,1.5,15.0,peak,False
EURUSD,34,29.411764705882355,0.4524703384227297,-11732.671653099518,13.012182842602488,1.8,10.0,1.2,1.8,15.0,peak,False
EURUSD,34,23.52941176470588,0.44349641071686546,-11923.94417301657,13.414025222241799,1.8,10.0,1.5,2.0,15.0,peak,False
EURUSD,34,35.294117647058826,0.46842187650588635,-10919.517661985577,11.993974784010248,1.8,12.0,1.0,1.5,15.0,peak,False
EURUSD,34,29.411764705882355,0.452825567697493,-11716.829968022445,12.996570796438162,1.8,12.0,1.2,1.8,15.0,peak,False
EURUSD,34,23.52941176470588,0.4259886577681109,-12286.00672795005,13.769962360378669,1.8,12.0,1.5,2.0,15.0,peak,False
EURUSD,34,35.294117647058826,0.47072307491105125,-10844.455504035941,11.919817999135477,1.8,15.0,1.0,1.5,15.0,peak,False
EURUSD,34,29.411764705882355,0.4195875705947531,-12377.557877498257,13.647720883981169,1.8,15.0,1.2,1.8,15.0,peak,False
EURUSD,34,23.52941176470588,0.4191646142011069,-12394.790150789253,13.876905372503312,1.8,15.0,1.5,2.0,15.0,peak,False
EURUSD,21,23.809523809523807,0.19469904900744042,-12818.212976493829,13.265862353294445,1.0,8.0,1.0,1.5,15.0,peak,True
EURUSD,19,15.789473684210526,0.26402857574842825,-11899.17698405942,14.401487529041477,1.0,8.0,1.2,1.8,15.0,peak,True
EURUSD,17,17.647058823529413,0.3502729537044053,-9338.934116831282,12.346240577879554,1.0,8.0,1.5,2.0,15.0,peak,True
EURUSD,19,21.052631578947366,0.22833351679004932,-10768.339822087743,12.278505518666526,1.0,10.0,1.0,1.5,15.0,peak,True
EURUSD,17,23.52941176470588,0.4569345887289368,-6693.642856347826,10.642531117362013,1.0,10.0,1.2,1.8,15.0,peak,True
EURUSD,14,28.57142857142857,0.7097516803786732,-2743.821376343607,7.543860701579881,1.0,10.0,1.5,2.0,15.0,peak,True
EURUSD,18,27.77777777777778,0.3650599130679812,-7672.156859759416,9.862610901814625,1.0,12.0,1.0,1.5,15.0,peak,True
EURUSD,14,28.57142857142857,0.6138650397663059,-3606.186349792042,7.702502367762744,1.0,12.0,1.2,1.8,15.0,peak,True
EURUSD,10,30.0,0.5695166279791128,-3132.172082154546,5.479374420970906,1.0,12.0,1.5,2.0,15.0,peak,True
EURUSD,14,28.57142857142857,0.4415591089244222,-5107.640000000174,7.847223430430262,1.0,15.0,1.0,1.5,15.0,peak,True
EURUSD,10,30.0,0.4370738023305923,-4043.3300000002055,6.004443883264156,1.0,15.0,1.2,1.8,15.0,peak,True
EURUSD,5,20.0,0.4151020901292568,-2420.6000000001513,4.068605427363483,1.0,15.0,1.5,2.0,15.0,peak,True
EURUSD,18,27.77777777777778,0.34302438141383096,-8681.404184779443,10.85088264720162,1.2,8.0,1.0,1.5,15.0,peak,True
EURUSD,17,23.52941176470588,0.30453362729980943,-9170.845227924176,11.018147789913375,1.2,8.0,1.2,1.8,15.0,peak,True
EURUSD,11,27.27272727272727,0.49504628776909476,-4225.312241323991,6.54311497252085,1.2,8.0,1.5,2.0,15.0,peak,True
EURUSD,18,27.77777777777778,0.4208514276318494,-7080.107402202513,10.363057284655449,1.2,10.0,1.0,1.5,15.0,peak,True
EURUSD,16,31.25,0.5254217867596814,-4869.094982605762,8.136325449503852,1.2,10.0,1.2,1.8,15.0,peak,True
EURUSD,11,36.36363636363637,0.9179669295855652,-519.5192290649575,4.549368410623637,1.2,10.0,1.5,2.0,15.0,peak,True
EURUSD,17,29.411764705882355,0.46176346090706816,-6031.009103900971,9.360205465474598,1.2,12.0,1.0,1.5,15.0,peak,True
EURUSD,14,28.57142857142857,0.52454627596524,-4395.293554148142,7.686863425263418,1.2,12.0,1.2,1.8,15.0,peak,True
EURUSD,9,33.33333333333333,0.6643305562752235,-2101.816792576501,4.47196333840038,1.2,12.0,1.5,2.0,15.0,peak,True
EURUSD,14,28.57142857142857,0.4415591089244222,-5107.640000000174,7.847223430430262,1.2,15.0,1.0,1.5,15.0,peak,True
EURUSD,10,30.0,0.4370738023305923,-4043.3300000002055,6.004443883264156,1.2,15.0,1.2,1.8,15.0,peak,True
EURUSD,5,20.0,0.4151020901292568,-2420.6000000001513,4.068605427363483,1.2,15.0,1.5,2.0,15.0,peak,True
EURUSD,16,31.25,0.43939861832585064,-5716.616523732504,8.418165622652898,1.5,8.0,1.0,1.5,15.0,peak,True
EURUSD,12,33.33333333333333,0.6716195224559298,-2395.373803500028,5.751442200720012,1.5,8.0,1.2,1.8,15.0,peak,True
EURUSD,8,37.5,1.2000563104257302,846.5948961156537,3.073304149563715,1.5,8.0,1.5,2.0,15.0,peak,True
EURUSD,16,31.25,0.4399656605986106,-5706.9736570353125,8.41138950959876,1.5,10.0,1.0,1.5,15.0,peak,True
EURUSD,11,36.36363636363637,0.7845079909225009,-1350.3511113693385,4.744280577904582,1.5,10.0,1.2,1.8,15.0,peak,True
EURUSD,8,37.5,1.20178414202152,853.2018665420183,3.073304149563715,1.5,10.0,1.5,2.0,15.0,peak,True
EURUSD,15,33.33333333333333,0.4912841030858483,-4669.701349561219,7.411580629255762,1.5,12.0,1.0,1.5,15.0,peak,True
EURUSD,11,36.36363636363637,0.7890832172794526,-1317.8263579936902,4.721715929730711,1.5,12.0,1.2,1.8,15.0,peak,True
EURUSD,6,33.33333333333333,0.8157203440953484,-768.3284580070467,3.0716537441161207,1.5,12.0,1.5,2.0,15.0,peak,True
EURUSD,13,30.76923076923077,0.4973322787476444,-4105.850272815005,6.873660315803742,1.5,15.0,1.0,1.5,15.0,peak,True
EURUSD,9,33.33333333333333,0.5096456453986752,-3030.3568108500767,5.011164400435369,1.5,15.0,1.2,1.8,15.0,peak,True
EURUSD,4,25.0,0.5513214455836799,-1398.0680323722481,3.063342865289421,1.5,15.0,1.5,2.0,15.0,peak,True
EURUSD,12,33.33333333333333,0.6009362856166159,-2710.598745153169,5.509531308673898,1.8,8.0,1.0,1.5,15.0,peak,True
EURUSD,10,30.0,0.6952396024703781,-1885.916130994141,4.695919343647812,1.8,8.0,1.2,1.8,15.0,peak,True
EURUSD,3,33.33333333333333,0.626675039362471,-773.4252873447258,1.0434534742045123,1.8,8.0,1.5,2.0,15.0,peak,True
EURUSD,12,33.33333333333333,0.6009362856166159,-2710.598745153169,5.509531308673898,1.8,10.0,1.0,1.5,15.0,peak,True
EURUSD,10,30.0,0.6952396024703781,-1885.916130994141,4.695919343647812,1.8,10.0,1.2,1.8,15.0,peak,True
EURUSD,3,33.33333333333333,0.626675039362471,-773.4252873447258,1.0434534742045123,1.8,10.0,1.5,2.0,15.0,peak,True
EURUSD,11,36.36363636363637,0.7095094067784928,-1677.2013966753002,4.508191309572004,1.8,12.0,1.0,1.5,15.0,peak,True
EURUSD,10,30.0,0.6960492658902527,-1879.736457670646,4.692128039800297,1.8,12.0,1.2,1.8,15.0,peak,True
EURUSD,3,33.33333333333333,0.6270687665870769,-772.1244840892614,1.0421562108630833,1.8,12.0,1.5,2.0,15.0,peak,True
EURUSD,11,36.36363636363637,0.7140663127056629,-1646.1055975411728,4.485587615187537,1.8,15.0,1.0,1.5,15.0,peak,True
EURUSD,8,25.0,0.4127385742238992,-3597.879345436537,4.995311378097068,1.8,15.0,1.2,1.8,15.0,peak,True
EURUSD,2,0.0,0.0,-2048.4205357729224,1.0335987336725962,1.8,15.0,1.5,2.0,15.0,peak,True
EURUSD,34,29.411764705882355,0.35500059571481135,-15028.7639135012,14.569287268106477,1.0,8.0,1.0,1.5,20.0,peak,False
EURUSD,34,26.47058823529412,0.4211512177573735,-14143.227542650566,14.479851367680963,1.0,8.0,1.2,1.8,20.0,peak,False
EURUSD,34,26.47058823529412,0.49632547687949313,-12395.866085012705,12.953784888142025,1.0,8.0,1.5,2.0,20.0,peak,False
EURUSD,32,31.25,0.3925071927789057,-13041.640545101793,12.571418654358773,1.0,10.0,1.0,1.5,20.0,peak,False
EURUSD,31,29.03225806451613,0.4099589166257463,-12709.662094568921,13.051906586097228,1.0,10.0,1.2,1.8,20.0,peak,False
EURUSD,31,29.03225806451613,0.48864055782343124,-11097.345739354874,11.663534345342974,1.0,10.0,1.5,2.0,20.0,peak,False
