trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,entry_dt,exit_dt,month,date
1,XAUUSD,BUY,2026-01-02 06:35:00+00:00,4379.54,4355.660387839949,4412.97145702407,4429.687185536106,4355.660387839949,23.879612160050513,33.43145702407072,50.14718553610608,0.02,0.01,0.01,False,False,False,5000.0,2026-01-02 13:30:00+00:00,4355.660387839949,415.0,SL,0.0,0.0,0.1,-50.1,4949.9,2026-01-02 06:35:00+00:00,2026-01-02 13:30:00+00:00,2026-01,2026-01-02
1,NAS100,BUY,2026-01-02 07:00:00+00:00,25481.9,25419.626715443348,25569.082598379315,25612.673897568973,25481.9,62.27328455665272,87.1825983793138,130.7738975689707,0.8,0.4,0.4,True,False,False,5000.0,2026-01-02 13:40:00+00:00,25481.9,400.0,TP1_THEN_BE,34.87,0.0,4.0,30.87,5030.87,2026-01-02 07:00:00+00:00,2026-01-02 13:40:00+00:00,2026-01,2026-01-02
2,XAUUSD,SELL,2026-01-02 18:55:00+00:00,4318.08,4341.973805382644,4284.628672464298,4267.903008696447,4341.973805382644,23.893805382644256,33.45132753570196,50.17699130355294,0.02,0.01,0.01,False,False,False,4949.9,2026-01-04 22:00:00+00:00,4341.973805382644,3065.0,SL,0.0,0.0,0.1,-50.1,4899.8,2026-01-02 18:55:00+00:00,2026-01-04 22:00:00+00:00,2026-01,2026-01-04
2,NAS100,BUY,2026-01-05 12:50:00+00:00,25407.9,25325.65463424445,25523.043512057775,25580.61526808666,25407.9,82.24536575555234,115.14351205777326,172.71526808665993,0.61,0.3,0.31,True,False,False,5030.87,2026-01-05 17:15:00+00:00,25407.9,265.0,TP1_THEN_BE,34.54,0.0,3.05,31.49,5062.37,2026-01-05 12:50:00+00:00,2026-01-05 17:15:00+00:00,2026-01,2026-01-05
3,XAUUSD,BUY,2026-01-05 16:15:00+00:00,4445.15,4421.30044669522,4478.539374626692,4495.2340619400375,4445.15,23.849553304779914,33.389374626691875,50.08406194003782,0.02,0.01,0.01,True,False,False,4899.8,2026-01-06 19:55:00+00:00,4495.2340619400375,1660.0,FULL_TP2,33.39,50.08,0.1,83.37,4983.17,2026-01-05 16:15:00+00:00,2026-01-06 19:55:00+00:00,2026-01,2026-01-06
3,NAS100,BUY,2026-01-05 19:40:00+00:00,25440.3,25343.98691545133,25575.138318368136,25642.557477552204,25440.3,96.31308454866954,134.83831836813735,202.25747755220604,0.52,0.26,0.26,True,False,False,5062.37,2026-01-06 17:45:00+00:00,25642.557477552204,1325.0,FULL_TP2,35.06,52.59,2.6,85.04,5147.41,2026-01-05 19:40:00+00:00,2026-01-06 17:45:00+00:00,2026-01,2026-01-06
4,XAUUSD,SELL,2026-01-07 08:40:00+00:00,4461.41,4483.677175228151,4430.235954680587,4414.648932020881,4461.41,22.26717522815168,31.174045319412347,46.76106797911853,0.02,0.01,0.01,True,False,False,4983.17,2026-01-07 15:30:00+00:00,4461.41,410.0,TP1_THEN_BE,31.17,0.0,0.1,31.07,5014.25,2026-01-07 08:40:00+00:00,2026-01-07 15:30:00+00:00,2026-01,2026-01-07
5,XAUUSD,SELL,2026-01-07 16:55:00+00:00,4451.9,4475.736760744263,4418.528534958031,4401.842802437046,4451.9,23.836760744263433,33.371465041968804,50.05719756295321,0.02,0.01,0.01,True,False,False,5014.25,2026-01-08 14:15:00+00:00,4451.9,1280.0,TP1_THEN_BE,33.37,0.0,0.1,33.27,5047.52,2026-01-07 16:55:00+00:00,2026-01-08 14:15:00+00:00,2026-01,2026-01-08
4,NAS100,BUY,2026-01-07 17:40:00+00:00,25815.7,25744.753337238908,25915.02532786553,25964.687991798295,25744.753337238908,70.94666276109295,99.32532786553013,148.9879917982952,0.7,0.35,0.35,False,False,False,5147.41,2026-01-07 18:15:00+00:00,25744.753337238908,35.0,SL,0.0,0.0,3.5,-53.5,5093.91,2026-01-07 17:40:00+00:00,2026-01-07 18:15:00+00:00,2026-01,2026-01-07
5,NAS100,SELL,2026-01-08 08:40:00+00:00,25608.8,25682.787389670226,25505.21765446168,25453.42648169252,25608.8,73.98738967022746,103.58234553831844,155.37351830747767,0.68,0.34,0.34,True,False,False,5093.91,2026-01-08 13:45:00+00:00,25453.42648169252,305.0,FULL_TP2,35.22,52.83,3.4,84.64,5178.56,2026-01-08 08:40:00+00:00,2026-01-08 13:45:00+00:00,2026-01,2026-01-08
