trade_id,symbol,direction,signal_time,entry_time,exit_time,duration_minutes,planned_entry,actual_entry,entry_spread,entry_slippage,stop_loss,tp1_price,tp2_price,tp1_hit,tp2_hit,be_hit,exit_reason,lots,partial_pnl,runner_pnl,gross_pnl,commission,net_pnl,return_pct,account_balance,r_multiple,adx_1h,atr_1h,trade_date
1,XAUUSD,BUY,2026-07-02 08:55:00+00:00,2026-07-02 08:55:00.161000+00:00,2026-07-02 15:30:10.138000+00:00,395.1662833333333,4066.05,4064.33,0.27999999999974534,-1.7200000000002547,4046.4806917688306,4091.1039623467536,4100.0286164623385,True,True,False,TP1 (1.5R) + TP2 (2.0R) Full Win,0.56,750.119999999999,1000.4400000000134,1750.5600000000122,2.8000000000000003,1747.7600000000123,1.7477600000000124,101747.76000000001,1.7477599999982645,25.176506707017754,19.83256470129913,2026-07-02
2,XAUUSD,BUY,2026-07-02 10:40:00+00:00,2026-07-02 10:40:00.121000+00:00,2026-07-02 15:30:32.881000+00:00,290.546,4074.41,4070.97,0.27999999999974534,-3.4400000000000546,4053.817591372104,4096.698612941844,4105.274817255791,True,True,False,TP1 (1.5R) + TP2 (2.0R) Full Win,0.59,792.6000000000158,997.6000000000025,1790.2000000000185,2.9499999999999997,1787.2500000000184,1.7565497265001395,103535.01000000002,1.756549726498413,25.14118486940025,19.058231808773236,2026-07-02
3,XAUUSD,BUY,2026-07-02 11:10:00+00:00,2026-07-02 11:10:00.078000+00:00,2026-07-02 15:30:32.881000+00:00,260.54671666666667,4069.9,4071.45,0.25999999999976353,1.5499999999997272,4054.5661919883823,4096.7757120174265,4105.217616023235,True,True,False,TP1 (1.5R) + TP2 (2.0R) Full Win,0.61,778.2000000000153,1051.5200000000023,1829.7200000000175,3.05,1826.6700000000176,1.7643017564783325,105361.68000000004,1.7643017564766283,25.00948752303084,18.759786679575157,2026-07-02
4,XAUUSD,BUY,2026-07-02 14:40:00+00:00,2026-07-02 14:40:00.029000+00:00,2026-07-02 15:30:10.133000+00:00,50.1684,4071.11,4067.09,0.2800000000002001,-4.019999999999982,4051.2719485417188,4090.817077187422,4098.726102916563,True,True,False,TP1 (1.5R) + TP2 (2.0R) Full Win,0.67,806.8200000000006,1061.2799999999952,1868.0999999999958,3.35,1864.749999999996,1.769855985591721,107226.43000000004,1.769855985590041,25.028997699044833,17.575612731423707,2026-07-02
5,XAUUSD,BUY,2026-07-02 15:20:00+00:00,2026-07-02 15:20:00.058000+00:00,2026-07-02 15:30:09.470000+00:00,10.156866666666668,4067.31,4062.35,0.27999999999974534,-4.960000000000036,4046.7071665030244,4085.814250245463,4093.635666993951,True,True,False,TP1 (1.5R) + TP2 (2.0R) Full Win,0.69,808.1799999999994,1102.4999999999998,1910.6799999999992,3.4499999999999997,1907.229999999999,1.7786939283532972,109133.66000000003,1.7786939283516385,24.571328615583802,17.38092610775058,2026-07-02
6,XAUUSD,BUY,2026-07-03 07:15:00+00:00,2026-07-03 07:15:00.143000+00:00,2026-07-03 17:08:41.352000+00:00,593.6868166666667,4181.27,4177.96,0.27999999999974534,-3.3100000000004,4159.566752821428,4205.549870767858,4214.746494357144,False,False,False,SL Hit,0.59,-557.0999999999913,-538.5299999999916,-1095.6299999999828,2.9499999999999997,-1098.5799999999829,-1.0066371823321811,108035.08000000005,-1.0066371823312588,43.041639288307486,20.436941309524673,2026-07-03
7,XAUUSD,BUY,2026-07-03 08:00:00+00:00,2026-07-03 08:00:00.176000+00:00,2026-07-03 09:15:00.711000+00:00,75.00891666666666,4180.64,4179.02,0.27000000000043656,-1.6199999999998909,4161.319556191326,4205.570665713011,4214.420887617349,False,False,False,SL Hit,0.61,-531.6000000000076,-549.3200000000079,-1080.9200000000155,3.05,-1083.9700000000155,-1.003350022974033,106951.11000000003,-1.0033500229731045,44.479460471950745,19.66715978741576,2026-07-03
8,XAUUSD,BUY,2026-07-03 10:05:00+00:00,2026-07-03 10:05:00.244000+00:00,2026-07-03 17:08:41.405000+00:00,423.68601666666666,4180.27,4175.17,0.27999999999974534,-5.100000000000364,4158.240448960888,4200.564326558668,4209.029102078224,False,False,False,SL Hit,0.63,-542.7200000000012,-525.7600000000011,-1068.4800000000023,3.15,-1071.6300000000024,-1.0019811856090153,105879.48000000003,-1.0019811856080783,45.50174953488631,18.810612265679943,2026-07-03
9,XAUUSD,BUY,2026-07-03 13:15:00+00:00,2026-07-03 13:15:00.104000+00:00,2026-07-03 16:48:47.326000+00:00,213.78703333333334,4180.32,4179.98,0.27999999999974534,-0.3400000000001455,4164.2785045069495,4203.532243239574,4211.3829909861,False,False,False,SL Hit,0.67,-534.8199999999852,-519.0899999999856,-1053.9099999999708,3.35,-1057.2599999999707,-0.9985504273349004,104822.22000000006,-0.9985504273339573,45.823323232642345,17.446106103388708,2026-07-03
10,XAUUSD,BUY,2026-07-03 18:00:00+00:00,2026-07-03 18:00:00.156000+00:00,2026-07-03 18:00:00.156000+00:00,0.0,4171.64,4170.11,0.27999999999974534,-1.5300000000006548,4155.63139258549,4191.8279111217635,4199.067214829018,False,False,False,EOD,0.72,0.0,0.0,0.0,3.5999999999999996,-3.5999999999999996,-0.0034343863352636473,104818.62000000005,-0.0034343863352603705,41.66011095216167,16.087341571676788,2026-07-03
11,XAUUSD,SELL,2026-07-06 11:30:00+00:00,2026-07-06 11:30:00.111000+00:00,2026-07-06 11:30:00.111000+00:00,0.0,4154.28,4155.39,0.26999999999952706,-1.110000000000582,4170.582705680686,4132.600941478972,4125.004588638631,True,False,False,EOD,0.69,775.2000000000063,0.0,775.2000000000063,3.4499999999999997,771.7500000000063,0.7362718570421991,105590.37000000005,0.7362718570414967,30.145303442836752,16.880784089650025,2026-07-06
12,XAUUSD,SELL,2026-07-06 15:25:00+00:00,2026-07-06 15:25:00.158000+00:00,2026-07-06 15:25:00.158000+00:00,0.0,4145.64,4147.06,0.27999999999974534,-1.4200000000000728,4161.5146952037185,4125.377957194422,4118.150609592563,False,False,False,EOD,0.73,0.0,0.0,0.0,3.65,-3.65,-0.0034567546263925375,105586.72000000006,-0.003456754626389264,24.06051782242933,16.060772448576,2026-07-06
13,XAUUSD,SELL,2026-07-07 10:55:00+00:00,2026-07-07 10:55:00.158000+00:00,2026-07-07 14:18:34.096000+00:00,203.56563333333332,4124.68,4126.75,0.27999999999974534,-2.069999999999709,4139.620058503302,4107.444912245046,4101.009882993395,False,False,False,SL Hit,0.82,-528.0800000000045,-528.0800000000045,-1056.160000000009,4.1,-1060.2600000000089,-1.0041603716831133,104526.46000000005,-1.0041603716821623,22.460886170531165,14.30006500366939,2026-07-07
