trade_id,symbol,direction,direction_str,entry_time,entry_price,curr_sl,sl_price,tp1,tp2,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,risk_dollars,tp1_hit,exit_time,exit_price,exit_reason,net_pnl,commission,ending_balance
3,XAUUSD,1,BUY,2026-01-02 06:35:00+00:00,4379.54,4353.823494596869,4353.823494596869,4415.543107564384,4436.116311886889,25.716505403131322,36.003107564383846,56.57631188688891,0.02,0.01,0.01,50.0,False,2026-01-02 13:35:00+00:00,4353.823494596869,SL,-51.53,0.1,4948.47
3,NAS100,1,BUY,2026-01-02 07:00:00+00:00,25481.9,25481.9,25419.626715443348,25575.30992683498,25606.44656911331,62.27328455665272,93.40992683497907,124.54656911330544,0.08,0.04,0.04,50.0,True,2026-01-02 13:45:00+00:00,25606.44656911331,FULL_TP2,86.78,0.4,5035.25
5,XAUUSD,-1,SELL,2026-01-02 18:55:00+00:00,4318.08,4343.811790412078,4343.811790412078,4282.05549342309,4261.470061093428,25.73179041207843,36.0245065769098,56.609938906572545,0.02,0.01,0.01,50.35249587573051,False,2026-01-04 22:00:00+00:00,4356.58,EOD,-77.1,0.1,4958.15
6,NAS100,1,BUY,2026-01-05 12:50:00+00:00,25407.9,25407.9,25325.65463424445,25531.26804863333,25572.390731511106,82.24536575555234,123.36804863332851,164.49073151110468,0.06,0.03,0.03,49.58149587573051,True,2026-01-05 17:15:00+00:00,25407.9,TP1_THEN_BE,36.71,0.3,4994.86
6,XAUUSD,1,BUY,2026-01-05 16:15:00+00:00,4445.15,4419.465865671775,4419.465865671775,4481.107788059514,4501.655095522094,25.68413432822452,35.95778805951433,56.505095522093946,0.02,0.01,0.01,49.58149587573051,False,2026-01-05 22:00:00+00:00,4454.49,EOD,18.58,0.1,5013.44
7,NAS100,1,BUY,2026-01-05 19:40:00+00:00,25440.3,25343.98691545133,25343.98691545133,25584.769626823003,25632.92616909734,96.31308454866954,144.46962682300432,192.62616909733907,0.05,0.03,0.02,49.94860002163049,False,2026-01-05 22:00:00+00:00,25433.7,EOD,-3.55,0.25,5009.89
9,XAUUSD,1,BUY,2026-01-06 07:20:00+00:00,4469.1,4446.373838153765,4446.373838153765,4500.91662658473,4519.097556061719,22.72616184623553,31.81662658472974,49.99755606171817,0.02,0.01,0.01,50.0989000216305,False,2026-01-06 08:45:00+00:00,4446.373838153765,SL,-45.55,0.1,4964.34
10,XAUUSD,1,BUY,2026-01-06 10:30:00+00:00,4460.53,4460.53,4437.137489221509,4493.279515089887,4511.99352371268,23.39251077849102,32.749515089887424,51.46352371268024,0.02,0.01,0.01,49.64337678470579,True,2026-01-06 22:00:00+00:00,4498.49,EOD,70.61,0.1,5034.95
10,NAS100,1,BUY,2026-01-06 16:10:00+00:00,25556.9,25471.41846985124,25471.41846985124,25685.122295223144,25727.863060297524,85.48153014876142,128.22229522314214,170.96306029752284,0.06,0.03,0.03,49.64337678470579,False,2026-01-06 22:00:00+00:00,25681.8,EOD,74.64,0.3,5109.59
12,XAUUSD,-1,SELL,2026-01-07 08:40:00+00:00,4461.41,4461.41,4485.390034861086,4427.837951194479,4408.65392330561,23.980034861086423,33.57204880552099,52.75607669439014,0.02,0.01,0.01,51.09587193560465,True,2026-01-07 15:30:00+00:00,4461.41,TP1_THEN_BE,33.47,0.1,5143.06
13,NAS100,1,BUY,2026-01-07 17:40:00+00:00,25815.7,25744.753337238908,25744.753337238908,25922.11999414164,25957.593325522186,70.94666276109295,106.41999414163942,141.8933255221859,0.07,0.04,0.03,51.43059242365985,False,2026-01-07 18:15:00+00:00,25744.753337238908,SL,-50.01,0.35,5093.05
13,XAUUSD,-1,SELL,2026-01-07 16:55:00+00:00,4451.9,4477.570357724591,4477.570357724591,4415.9614991855715,4395.4252130058985,25.670357724591387,35.93850081442794,56.47478699410106,0.02,0.01,0.01,51.43059242365985,False,2026-01-07 22:00:00+00:00,4461.96,EOD,-20.22,0.1,5072.83
15,NAS100,-1,SELL,2026-01-08 08:40:00+00:00,25608.8,25608.8,25682.787389670226,25497.81891549466,25460.825220659543,73.98738967022746,110.98108450534119,147.97477934045492,0.07,0.04,0.03,50.72826578433219,True,2026-01-08 13:45:00+00:00,25460.825220659543,FULL_TP2,88.43,0.35,5161.26
