trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,return_pct
1,XAUUSD,BUY,2026-01-02 06:35:00+00:00,4379.87,4355.990387839949,4413.30145702407,4432.405146752111,4355.990387839949,23.879612160050513,33.43145702407072,52.53514675211113,0.02,0.01,0.01,False,False,False,5000.0,2026-01-02 13:30:00+00:00,4355.990387839949,SL,415.0,-23.88,-23.88,0.1,-47.86,4952.14,-0.9572
2,NAS100,BUY,2026-01-02 07:00:00+00:00,25484.5,25422.226715443347,25577.90992683498,25609.046569113307,25484.5,62.27328455665272,93.40992683497907,124.54656911330544,0.08,0.04,0.04,True,True,True,5000.0,2026-01-02 13:50:00+00:00,25609.046569113307,FULL_TP2,410.0,37.36,49.82,0.4,86.78,5038.92,1.7356
3,XAUUSD,SELL,2026-01-02 18:55:00+00:00,4317.75,4341.643805382644,4284.298672464298,4265.183628158183,4341.643805382644,23.893805382644256,33.45132753570196,52.566371841817364,0.02,0.01,0.01,False,False,False,5038.923374059213,2026-01-04 22:00:00+00:00,4356.58,EOD_EXIT,3065.0,-38.83,-38.83,0.1,-77.76,4961.16,-1.543186792645326
4,NAS100,BUY,2026-01-05 12:50:00+00:00,25410.5,25328.254634244448,25533.86804863333,25574.990731511105,25410.5,82.24536575555234,123.36804863332851,164.49073151110468,0.06,0.03,0.03,True,False,True,4961.163374059212,2026-01-05 17:15:00+00:00,25410.5,TP1_THEN_BE,265.0,37.01,0.0,0.3,36.71,4997.87,0.7399474121724793
5,XAUUSD,BUY,2026-01-05 16:15:00+00:00,4445.48,4421.63044669522,4478.869374626692,4497.9490172705155,4421.63044669522,23.849553304779914,33.389374626691875,52.46901727051581,0.02,0.01,0.01,False,False,False,4961.163374059212,2026-01-05 22:00:00+00:00,4454.49,EOD_EXIT,345.0,9.01,9.01,0.1,17.92,5015.79,0.36120560136559055
6,NAS100,BUY,2026-01-05 19:40:00+00:00,25442.899999999998,25346.586915451328,25587.369626823,25635.52616909734,25346.586915451328,96.31308454866954,144.46962682300432,192.62616909733907,0.05,0.03,0.02,False,False,False,4997.873788649211,2026-01-05 22:00:00+00:00,25433.7,EOD_EXIT,140.0,-2.76,-1.84,0.25,-4.85,5010.94,-0.09704126604827336
7,XAUUSD,BUY,2026-01-06 07:20:00+00:00,4469.43,4448.327135428496,4498.974010400107,4515.85630205731,4448.327135428496,21.102864571504423,29.54401040010619,46.426302057309734,0.02,0.01,0.01,False,False,False,5010.943788649212,2026-01-06 08:45:00+00:00,4448.327135428496,SL,85.0,-21.1,-21.1,0.1,-42.31,4968.64,-0.8443519182123056
8,XAUUSD,BUY,2026-01-06 10:30:00+00:00,4460.86,4439.138382848544,4491.270264012038,4508.647557733203,4460.86,21.72161715145595,30.410264012038326,47.78755773320309,0.02,0.01,0.01,True,False,True,4968.638059506204,2026-01-06 22:00:00+00:00,4498.49,EOD_EXIT,690.0,30.41,37.63,0.1,67.94,5036.58,1.3673767174490479
9,NAS100,BUY,2026-01-06 16:10:00+00:00,25559.5,25474.01846985124,25687.722295223142,25730.463060297523,25474.01846985124,85.48153014876142,128.22229522314214,170.96306029752284,0.06,0.03,0.03,False,False,False,4968.638059506204,2026-01-06 22:00:00+00:00,25681.8,EOD_EXIT,350.0,36.69,36.69,0.3,73.08,5109.66,1.4708255889192878
10,XAUUSD,SELL,2026-01-07 08:40:00+00:00,4461.08,4483.347175228151,4429.9059546805875,4412.092214498066,4461.08,22.26717522815168,31.174045319412347,48.9877855019337,0.02,0.01,0.01,True,False,True,5109.6583235182425,2026-01-07 15:20:00+00:00,4461.08,TP1_THEN_BE,400.0,31.17,0.0,0.1,31.07,5140.73,0.608064141138244
12,NAS100,BUY,2026-01-07 17:40:00+00:00,25818.3,25747.353337238907,25924.71999414164,25960.193325522185,25747.353337238907,70.94666276109295,106.41999414163942,141.8933255221859,0.07,0.04,0.03,False,False,False,5140.732368837655,2026-01-07 18:15:00+00:00,25747.353337238907,SL,35.0,-28.38,-21.28,0.35,-50.01,5090.72,-0.9728185871560457
11,XAUUSD,SELL,2026-01-07 16:55:00+00:00,4451.57,4475.406760744263,4418.198534958031,4399.12912636262,4475.406760744263,23.836760744263433,33.371465041968804,52.44087363737955,0.02,0.01,0.01,False,False,False,5140.732368837655,2026-01-07 22:00:00+00:00,4461.96,EOD_EXIT,305.0,-10.39,-10.39,0.1,-20.88,5069.84,-0.40616780843467776
14,NAS100,SELL,2026-01-08 08:40:00+00:00,25606.2,25680.187389670227,25495.21891549466,25458.225220659544,25606.2,73.98738967022746,110.98108450534119,147.97477934045492,0.07,0.04,0.03,True,True,True,5069.839704904888,2026-01-08 13:45:00+00:00,25458.225220659544,FULL_TP2,305.0,44.39,44.39,0.35,88.43,5158.27,1.7442366060301109
13,XAUUSD,SELL,2026-01-08 07:00:00+00:00,4425.33,4445.621801764896,4396.921477529146,4380.688036117229,4445.621801764896,20.29180176489593,28.408522470854297,44.64196388277105,0.02,0.01,0.01,False,False,False,5069.839704904888,2026-01-08 14:10:00+00:00,4445.621801764896,SL,430.0,-20.29,-20.29,0.1,-40.68,5117.59,-0.8023922326507397
15,NAS100,SELL,2026-01-08 17:10:00+00:00,25472.2,25570.444590151248,25324.83311477313,25275.71081969751,25570.444590151248,98.24459015124637,147.36688522686956,196.48918030249274,0.05,0.03,0.02,False,False,False,5117.590968979369,2026-01-08 20:35:00+00:00,25570.444590151248,SL,205.0,-29.47,-19.65,0.25,-49.37,5068.22,-0.9647117227472782
16,XAUUSD,BUY,2026-01-08 19:00:00+00:00,4457.7,4437.2912906505035,4486.272193089295,4502.599160568891,4437.2912906505035,20.40870934949622,28.572193089294707,44.89916056889169,0.03,0.01,0.02,False,False,False,5117.590968979369,2026-01-08 22:00:00+00:00,4477.26,EOD_EXIT,180.0,19.56,39.12,0.15,58.53,5126.75,1.1437021902450515
17,NAS100,SELL,2026-01-09 06:20:00+00:00,25509.5,25584.06045441667,25397.659318374994,25360.37909116666,25584.06045441667,74.56045441667038,111.84068162500557,149.12090883334076,0.07,0.04,0.03,False,False,False,5126.748673903748,2026-01-09 09:20:00+00:00,25584.06045441667,SL,180.0,-29.82,-22.37,0.35,-52.54,5074.21,-1.0248210579824186
19,NAS100,BUY,2026-01-09 11:55:00+00:00,25600.699999999997,25531.62711068727,25704.30933396909,25738.845778625455,25531.62711068727,69.0728893127283,103.60933396909243,138.1457786254566,0.07,0.04,0.03,False,False,False,5074.206355812078,2026-01-09 13:30:00+00:00,25531.62711068727,SL,95.0,-27.63,-20.72,0.35,-48.7,5025.51,-0.9597560009402897
18,XAUUSD,BUY,2026-01-09 07:05:00+00:00,4474.12,4456.388238940056,4498.944465483922,4513.129874331877,4474.12,17.731761059943878,24.82446548392143,39.00987433187653,0.03,0.01,0.02,True,True,True,5126.748673903748,2026-01-09 14:35:00+00:00,4513.129874331877,FULL_TP2,450.0,24.82,78.02,0.15,102.69,5128.2,2.0030238759842893
20,NAS100,SELL,2026-01-12 07:15:00+00:00,25546.2,25630.614356146878,25419.578465779683,25377.371287706243,25630.614356146878,84.41435614687835,126.62153422031753,168.8287122937567,0.06,0.03,0.03,False,False,False,5128.199547440843,2026-01-12 13:30:00+00:00,25630.614356146878,SL,375.0,-25.32,-25.32,0.3,-50.95,5077.25,-0.9935260812037997
21,XAUUSD,BUY,2026-01-12 11:55:00+00:00,4590.83,4568.506529063386,4622.08285931126,4639.941636060551,4590.83,22.32347093661423,31.25285931125992,49.111636060551305,0.02,0.01,0.01,True,False,True,5128.199547440843,2026-01-12 20:15:00+00:00,4590.83,TP1_THEN_BE,500.0,31.25,0.0,0.1,31.15,5108.4,0.6074256610303898
22,NAS100,BUY,2026-01-13 07:20:00+00:00,25781.0,25716.90222016387,25877.146669754195,25909.19555967226,25781.0,64.09777983613002,96.14666975419502,128.19555967226003,0.08,0.04,0.04,True,False,True,5108.403793063976,2026-01-13 14:00:00+00:00,25781.0,TP1_THEN_BE,400.0,38.46,0.0,0.4,38.06,5146.46,0.7450468197458593
23,XAUUSD,BUY,2026-01-13 10:40:00+00:00,4590.05,4569.704679151897,4618.533449187345,4634.809705865827,4590.05,20.34532084810293,28.4834491873441,44.75970586582645,0.03,0.01,0.02,True,False,True,5108.403793063976,2026-01-13 16:55:00+00:00,4590.05,TP1_THEN_BE,375.0,28.48,0.0,0.15,28.33,5174.8,0.5545763637257013
24,NAS100,BUY,2026-01-13 15:30:00+00:00,25805.199999999997,25718.419686931902,25935.370469602138,25978.760626136183,25718.419686931902,86.78031306809321,130.1704696021398,173.56062613618641,0.06,0.03,0.03,False,False,False,5146.462460965654,2026-01-13 16:55:00+00:00,25718.419686931902,SL,85.0,-26.03,-26.03,0.3,-52.37,5122.43,-1.0175921887551003
25,XAUUSD,BUY,2026-01-14 07:50:00+00:00,4635.0599999999995,4613.723593165604,4664.930969568153,4682.000095035669,4613.723593165604,21.336406834395383,29.870969568153534,46.94009503566985,0.02,0.01,0.01,False,False,False,5122.427722312142,2026-01-14 13:40:00+00:00,4613.723593165604,SL,350.0,-21.34,-21.34,0.1,-42.77,5079.65,-0.8349556561570116
26,NAS100,BUY,2026-01-15 11:40:00+00:00,25695.6,25598.061612006844,25841.907581989726,25890.676775986303,25598.061612006844,97.53838799315287,146.3075819897293,195.07677598630573,0.05,0.03,0.02,False,False,False,5079.654908643351,2026-01-15 19:00:00+00:00,25598.061612006844,SL,440.0,-29.26,-19.51,0.25,-49.02,5030.64,-0.9650261854715644
27,NAS100,BUY,2026-01-16 08:00:00+00:00,25699.5,25626.276840314695,25809.334739527956,25845.94631937061,25626.276840314695,73.22315968530482,109.83473952795723,146.44631937060964,0.07,0.04,0.03,False,False,False,5030.635714646774,2026-01-16 13:55:00+00:00,25626.276840314695,SL,355.0,-29.29,-21.97,0.35,-51.61,4979.03,-1.0259140778120086
28,XAUUSD,SELL,2026-01-16 10:00:00+00:00,4600.91,4619.246484433868,4575.238921792584,4560.56973424549,4619.246484433868,18.336484433868307,25.67107820741563,40.34026575451028,0.03,0.01,0.02,False,False,False,5030.635714646774,2026-01-16 14:05:00+00:00,4619.246484433868,SL,245.0,-18.34,-36.67,0.15,-55.16,4923.87,-1.0964816999052585
29,XAUUSD,SELL,2026-01-16 14:25:00+00:00,4564.24,4584.168254943662,4536.340443078873,4520.397839123943,4584.168254943662,19.92825494366189,27.899556921126646,43.84216087605616,0.02,0.01,0.01,False,False,False,4923.870049565456,2026-01-16 15:05:00+00:00,4584.168254943662,SL,40.0,-19.93,-19.93,0.1,-39.96,4883.91,-0.811556755108242
31,XAUUSD,SELL,2026-01-16 16:20:00+00:00,4583.95,4611.374582068769,4545.5555851037225,4523.615919448706,4611.374582068769,27.424582068769706,38.39441489627759,60.334080551293354,0.02,0.01,0.01,False,False,False,4883.913539678132,2026-01-18 22:00:00+00:00,4648.77,EOD_EXIT,3220.0,-64.82,-64.82,0.1,-129.74,4754.17,-2.6564761834123365
