trade_id,symbol,direction,entry_time,exit_time,duration_m,planned_entry,actual_entry,entry_spread,total_lots,partial_lots,runner_lots,tp1_hit,tp2_hit,be_hit,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,account_balance,return_pct,adx_1h,atr_1h,month,portfolio_balance
1,NAS100,BUY,2026-01-02 10:00:00.057000+00:00,2026-01-02 11:10:06.745000+00:00,70.11146666666667,25481.9,25471.6,2.599999999998545,0.11,0.06,0.05,True,True,False,FULL_TP2,40.0328258109912,44.48091756776921,0.55,83.96374337876041,5083.96374337876,1.6792748675752083,18.89811712088356,44.48091756776897,2026-01,5083.96374337876
2,XAUUSD,BUY,2026-01-02 15:00:00.041000+00:00,2026-01-02 15:24:12.321000+00:00,24.204666666666665,4397.43,4394.83,0.2899999999999636,0.03,0.02,0.01,False,False,False,SL,-28.992427834209593,-14.496213917104797,0.15,-43.63864175131439,5002.891067985847,-0.864725747420344,29.106927922621363,16.106904352338432,2026-01,5040.325101627446
1,XAUUSD,BUY,2026-01-02 09:35:00.029000+00:00,2026-01-02 15:24:12.980000+00:00,349.21585,4379.54,4379.25,0.3900000000003274,0.03,0.02,0.01,True,False,True,TP1_THEN_BE,46.28970973716059,0.3900000000003274,0.15,46.52970973716092,5046.529709737161,0.9305941947432185,25.129525391946878,18.368932435381186,2026-01,5086.8548113646075
2,NAS100,BUY,2026-01-02 16:45:00.112000+00:00,2026-01-02 16:50:30.982000+00:00,5.5145,25586.3,25524.7,2.600000000002183,0.12,0.06,0.06,True,True,False,FULL_TP2,39.03941352560578,52.05255136747364,0.6,90.49196489307943,5174.455708271839,1.7799490606307748,22.905144082869562,43.37712613956099,2026-01,5177.3467762576865
3,XAUUSD,BUY,2026-01-05 06:25:00.296000+00:00,2026-01-05 14:50:29.192000+00:00,505.4816,4404.69,4405.28,0.2899999999999636,0.03,0.02,0.01,True,False,True,TP1_THEN_BE,49.879492261352425,0.2899999999999636,0.15,50.01949226135239,5052.9105602472,0.9998117404840903,27.772810113238535,19.793449310060783,2026-01,5227.366268519039
3,NAS100,BUY,2026-01-05 15:50:00.061000+00:00,2026-01-05 16:36:00.430000+00:00,46.006150000000005,25407.9,25407.9,2.600000000002183,0.09,0.04,0.05,True,False,True,TP1_THEN_BE,35.248013897294,1.3000000000010914,0.44999999999999996,36.09801389729509,5210.553722169135,0.6976195358980293,15.555561281524472,58.74668982882248,2026-01,5263.464282416335
4,XAUUSD,BUY,2026-01-05 16:00:00.016000+00:00,2026-01-05 17:04:17.926000+00:00,64.2985,4422.18,4417.08,0.2899999999999636,0.03,0.02,0.01,True,True,False,FULL_TP2,44.81596134579377,35.212541057409,0.15,79.87850240320276,5132.789062650403,1.5808414071610821,30.00087155595782,17.78411164515591,2026-01,5343.342784819538
5,XAUUSD,BUY,2026-01-05 19:15:00.027000+00:00,2026-01-05 21:00:00.048000+00:00,105.00035,4445.15,4442.67,0.2600000000002183,0.03,0.02,0.01,False,False,False,EOD_EXIT,11.780000000000655,5.890000000000327,0.15,17.520000000000984,5150.3090626504045,0.34133489193016303,29.97563844773907,18.345810234842478,2026-01,5360.862784819539
7,XAUUSD,BUY,2026-01-06 10:20:00.081000+00:00,2026-01-06 11:46:30.568000+00:00,86.50811666666667,4469.1,4466.11,0.26999999999952706,0.03,0.02,0.01,False,False,False,SL,-29.21935094541368,-14.60967547270684,0.15,-43.97902641812052,5061.564650563934,-0.8613975161234352,28.363061469632402,16.232972747451544,2026-01,5316.883758401419
6,XAUUSD,BUY,2026-01-06 08:50:00.133000+00:00,2026-01-06 11:47:11.001000+00:00,177.18113333333335,4464.5,4463.37,0.2899999999999636,0.03,0.02,0.01,False,False,False,SL,-29.74359044556695,-14.871795222783476,0.15,-44.765385668350426,5105.543676982054,-0.8691786283853358,29.028270755210173,16.524216914204185,2026-01,5272.118372733069
4,NAS100,BUY,2026-01-06 16:25:00.105000+00:00,2026-01-06 16:50:21.405000+00:00,25.355,25479.1,25465.2,2.600000000002183,0.11,0.06,0.05,True,True,False,FULL_TP2,43.944455704852594,48.82717300539117,0.55,92.22162871024376,5302.7753508793785,1.7699007366121586,15.895623849305801,48.82717300539127,2026-01,5364.340001443313
8,XAUUSD,BUY,2026-01-06 13:30:00.287000+00:00,2026-01-06 16:55:05.920000+00:00,205.09388333333334,4460.53,4455.74,0.2899999999999636,0.03,0.02,0.01,True,True,False,FULL_TP2,42.1065194015664,33.08369381551711,0.15,75.0402132170835,5136.604863781018,1.4825497330894093,26.21303900414045,16.70893627046318,2026-01,5439.380214660397
9,XAUUSD,BUY,2026-01-06 15:50:00.034000+00:00,2026-01-06 17:00:33.041000+00:00,70.55011666666665,4465.02,4458.54,0.27999999999974534,0.04,0.02,0.02,True,True,False,FULL_TP2,40.38917438196404,63.46870260022842,0.2,103.65787698219246,5240.262740763211,2.018023183233344,25.311271844408253,16.027450151572857,2026-01,5543.038091642589
5,NAS100,BUY,2026-01-06 19:10:00.048000+00:00,2026-01-06 21:00:00.144000+00:00,110.0016,25556.9,25553.8,2.599999999998545,0.09,0.04,0.05,True,False,False,EOD_EXIT,36.634941492605144,46.95000000000073,0.44999999999999996,83.13494149260588,5385.910292371985,1.5677628409964475,19.039669475010918,61.05823582100738,2026-01,5626.1730331351955
11,XAUUSD,SELL,2026-01-07 12:25:00.206000+00:00,2026-01-07 15:09:40.706000+00:00,164.675,4459.85,4464.34,0.2899999999999636,0.04,0.02,0.02,True,True,False,FULL_TP2,41.75311541072915,65.61203850257334,0.2,107.16515391330249,5424.356578158683,2.0154466025926734,23.43041168043867,16.56869659155894,2026-01,5733.338187048498
12,XAUUSD,SELL,2026-01-07 13:10:00.131000+00:00,2026-01-07 15:09:43.988000+00:00,119.73094999999999,4461.77,4462.4,0.2899999999999636,0.04,0.02,0.02,True,True,False,FULL_TP2,40.45195002424771,63.56735003810354,0.2,103.81930006235125,5528.1758782210345,1.913946816851651,22.96896698533654,16.052361120733245,2026-01,5837.15748711085
10,XAUUSD,SELL,2026-01-07 11:40:00.269000+00:00,2026-01-07 15:10:01.645000+00:00,210.02293333333333,4461.41,4462.7,0.2600000000002183,0.03,0.02,0.01,True,True,False,FULL_TP2,43.16406275001464,33.91462073215462,0.15,76.92868348216925,5317.19142424538,1.4680310375232268,24.011409930744126,17.128596329371167,2026-01,5914.086170593019
13,XAUUSD,SELL,2026-01-07 16:35:00.014000+00:00,2026-01-07 17:32:32.112000+00:00,57.53496666666667,4440.93,4449.32,0.2899999999999636,0.04,0.02,0.02,True,False,True,TP1_THEN_BE,42.52532820819033,0.5799999999999272,0.2,42.905328208190255,5571.081206429225,0.7761208968987647,25.332049911985173,16.875130241345097,2026-01,5956.99149880121
6,NAS100,BUY,2026-01-07 20:40:00.061000+00:00,2026-01-07 21:00:00.034000+00:00,19.99955,25815.7,25801.8,2.599999999998545,0.11,0.06,0.05,False,False,False,EOD_EXIT,0.4200000000004366,0.35000000000036385,0.55,0.22000000000080044,5386.130292371986,0.004084731977663728,30.58639655270391,50.676187686573236,2026-01,5957.211498801211
14,XAUUSD,SELL,2026-01-07 19:55:00.021000+00:00,2026-01-07 21:00:00.281000+00:00,65.00433333333334,4451.9,4454.58,0.2899999999999636,0.03,0.02,0.01,False,False,False,EOD_EXIT,4.639999999999418,2.319999999999709,0.15,6.8099999999991265,5577.891206429224,0.12223839049662649,27.616599050373093,18.335969803292677,2026-01,5964.02149880121
18,XAUUSD,SELL,2026-01-08 13:15:00.260000+00:00,2026-01-08 14:39:28.343000+00:00,84.46804999999999,4428.78,4428.24,0.2899999999999636,0.04,0.02,0.02,True,False,True,TP1_THEN_BE,37.29639947389296,0.5799999999999272,0.2,37.676399473892886,5732.891895011485,0.6615447563558168,32.841307710672574,14.8001585213864,2026-01,6001.697898275103
17,XAUUSD,SELL,2026-01-08 12:15:00.080000+00:00,2026-01-08 14:39:34.169000+00:00,144.56815,4424.36,4429.17,0.2899999999999636,0.04,0.02,0.02,True,False,True,TP1_THEN_BE,37.9031686641938,0.5799999999999272,0.2,38.283168664193724,5695.215495537592,0.6767478635430828,32.172281987329036,15.040939946108425,2026-01,6039.981066939297
15,XAUUSD,SELL,2026-01-08 10:00:00.018000+00:00,2026-01-08 14:42:40.063000+00:00,282.6674166666666,4425.66,4430.78,0.2899999999999636,0.04,0.02,0.02,True,False,True,TP1_THEN_BE,39.33487726734893,0.5799999999999272,0.2,39.714877267348854,5617.6060836965735,0.7120052327584382,30.721913802473924,15.60907828069382,2026-01,6079.695944206646
16,XAUUSD,SELL,2026-01-08 11:15:00.103000+00:00,2026-01-08 14:42:41.641000+00:00,207.69230000000002,4426.47,4430.9,0.2899999999999636,0.04,0.02,0.02,True,False,True,TP1_THEN_BE,38.94624317682428,0.5799999999999272,0.2,39.32624317682421,5656.932326873398,0.7000534140504601,31.61141748112901,15.454858403501392,2026-01,6119.022187383471
8,NAS100,SELL,2026-01-08 14:05:00.230000+00:00,2026-01-08 15:19:00.141000+00:00,73.99851666666667,25603.6,25600.8,2.600000000002183,0.11,0.06,0.05,False,False,False,SL,-30.17559482073775,-25.14632901728146,0.55,-55.87192383801921,5276.910233055205,-1.0477068478373606,18.829469724596976,50.29265803456243,2026-01,6063.150263545452
7,NAS100,SELL,2026-01-08 11:40:00.019000+00:00,2026-01-08 15:20:40.755000+00:00,220.67893333333333,25608.8,25606.3,2.600000000002183,0.1,0.05,0.05,False,False,False,SL,-26.424067739380916,-26.424067739380916,0.5,-53.34813547876183,5332.782156893224,-0.9904724279380172,20.302989436712732,52.84813547876163,2026-01,6009.80212806669
10,NAS100,SELL,2026-01-08 16:30:00.067000+00:00,2026-01-08 16:38:26.472000+00:00,8.440083333333332,25556.5,25632.9,2.599999999998545,0.11,0.06,0.05,True,True,False,FULL_TP2,44.80511881151469,49.78346534612683,0.55,94.03858415764152,5458.460968773331,1.7530048421863504,17.214984131191713,49.78346534612771,2026-01,6103.840712224332
9,NAS100,SELL,2026-01-08 14:30:00.140000+00:00,2026-01-08 16:40:08.086000+00:00,130.13243333333332,25609.6,25622.5,2.7999999999992724,0.1,0.05,0.05,True,True,False,FULL_TP2,37.71949352592128,50.29265803456292,0.5,87.5121515604842,5364.422384615689,1.658397579179905,18.829469724596976,50.29265803456243,2026-01,6191.352863784816
19,XAUUSD,SELL,2026-01-08 15:05:00.016000+00:00,2026-01-08 16:47:49.515000+00:00,102.82498333333334,4418.7,4423.82,0.2899999999999636,0.04,0.02,0.02,False,False,False,SL,-27.392113378600698,-27.392113378600698,0.2,-54.9842267572014,5677.907668254284,-0.9591010569211378,34.843366371395156,15.217840765889328,2026-01,6136.368637027615
20,XAUUSD,SELL,2026-01-08 16:05:00.093000+00:00,2026-01-08 16:50:05.697000+00:00,45.093399999999995,4423.63,4424.46,0.2899999999999636,0.04,0.02,0.02,False,False,False,SL,-27.88353385155824,-27.88353385155824,0.2,-55.967067703116484,5621.940600551167,-0.9856987991550766,35.456723430021604,15.490852139754374,2026-01,6080.401569324498
11,NAS100,SELL,2026-01-08 20:10:00.118000+00:00,2026-01-08 21:00:00.002000+00:00,49.998066666666666,25474.8,25500.9,2.599999999998545,0.08,0.04,0.04,False,False,False,EOD_EXIT,7.840000000000873,7.840000000000873,0.4,15.280000000001746,5473.7409687733325,0.27993238547303545,21.720827438758025,70.1747072509045,2026-01,6095.6815693245
15,NAS100,SELL,2026-01-09 10:55:00.059000+00:00,2026-01-09 11:38:02.053000+00:00,43.033233333333335,25524.1,25522.8,2.600000000002183,0.1,0.05,0.05,False,False,False,SL,-26.123109883081273,-26.123109883081273,0.5,-52.74621976616255,5260.996145505901,-0.9926378838177251,18.86699698681638,52.24621976616427,2026-01,6042.935349558337
13,NAS100,SELL,2026-01-09 07:45:03.542000+00:00,2026-01-09 12:00:32.941000+00:00,255.48998333333333,25519.3,25521.0,2.599999999998545,0.09,0.04,0.05,False,False,False,SL,-22.879913889549787,-28.599892361937236,0.44999999999999996,-51.92980625148702,5367.4998327125495,-0.958215342037613,20.161297826129022,57.19978472387558,2026-01,5991.00554330685
14,NAS100,SELL,2026-01-09 09:20:00.258000+00:00,2026-01-09 12:00:33.190000+00:00,160.54886666666667,25512.1,25525.8,2.600000000002183,0.1,0.05,0.05,False,False,False,SL,-26.628733720242966,-26.628733720242966,0.5,-53.75746744048593,5313.742365272064,-1.001536453021532,19.033238888399364,53.25746744048471,2026-01,5937.248075866364
12,NAS100,SELL,2026-01-09 06:00:00.440000+00:00,2026-01-09 12:21:51.387000+00:00,381.84911666666665,25517.4,25524.1,2.600000000002183,0.09,0.04,0.05,False,False,False,SL,-23.938368804131464,-29.922961005164325,0.44999999999999996,-54.31132980929579,5419.429638964037,-0.9922159290900274,20.27083270191785,59.845922010327605,2026-01,5882.936746057068
21,XAUUSD,BUY,2026-01-09 07:30:00.004000+00:00,2026-01-09 16:11:07.517000+00:00,521.1252166666667,4470.88,4465.17,0.2899999999999636,0.04,0.02,0.02,True,True,False,FULL_TP2,36.26694722110369,56.99091706173386,0.2,93.05786428283754,5714.998464834005,1.655262317672198,17.996407197948542,14.39164572265989,2026-01,5975.994610339906
16,NAS100,BUY,2026-01-09 14:55:00.210000+00:00,2026-01-09 16:18:22.700000+00:00,83.37483333333333,25598.1,25590.9,2.600000000002183,0.11,0.06,0.05,True,False,True,TP1_THEN_BE,44.404000272471606,1.3000000000010914,0.55,45.1540002724727,5306.150145778373,0.8582785279370446,15.816876467247031,49.33777808052425,2026-01,6021.148610612378
