trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,return_pct
1,NAS100,SELL,2026-07-01 14:30:00+00:00,30017.300000000003,30152.754284611037,29814.118573083455,29746.391430777938,30017.300000000003,135.45428461103307,203.1814269165496,270.90856922206615,0.04,0.02,0.02,True,False,True,5000.0,2026-07-01 22:00:00+00:00,29857.1,EOD_EXIT,450.0,40.64,32.04,0.2,72.48,5072.48,1.4496
3,NAS100,SELL,2026-07-02 10:05:00+00:00,29723.100000000002,29887.19077636119,29476.96383545822,29394.918447277625,29887.19077636119,164.09077636118846,246.1361645417827,328.1815527223769,0.03,0.01,0.02,False,False,False,5072.476285383311,2026-07-02 12:05:00+00:00,29887.19077636119,SL,120.0,-16.41,-32.82,0.15,-49.38,5023.1,-0.9734890263024367
2,XAUUSD,BUY,2026-07-02 07:40:00+00:00,4074.74,4049.9642986485364,4109.425981892048,4129.246542973219,4074.74,24.7757013514634,34.68598189204876,54.50654297321949,0.02,0.01,0.01,True,True,True,5072.476285383311,2026-07-02 12:35:00+00:00,4129.246542973219,FULL_TP2,295.0,34.69,54.51,0.1,89.09,5112.19,1.7563413801799128
4,NAS100,SELL,2026-07-02 14:25:00+00:00,29717.4,29908.719305592775,29430.421041610844,29334.76138881446,29717.4,191.31930559277157,286.97895838915736,382.63861118554314,0.03,0.01,0.02,True,True,True,5112.1915773402225,2026-07-02 16:25:00+00:00,29334.76138881446,FULL_TP2,120.0,28.7,76.53,0.15,105.08,5217.27,2.0554785244310256
5,XAUUSD,BUY,2026-07-02 18:20:00+00:00,4118.2699999999995,4089.191552044244,4158.979827138057,4182.242585502661,4089.191552044244,29.078447955755376,40.70982713805753,63.97258550266183,0.02,0.01,0.01,False,False,False,5217.267195416247,2026-07-02 22:00:00+00:00,4125.52,EOD_EXIT,220.0,7.25,7.25,0.1,14.4,5231.67,0.2760065655186581
6,NAS100,SELL,2026-07-02 19:00:00+00:00,29186.0,29434.446869220148,28813.329696169778,28689.106261559704,29434.446869220148,248.44686922014807,372.6703038302221,496.89373844029615,0.02,0.01,0.01,False,False,False,5217.267195416247,2026-07-02 22:00:00+00:00,29366.6,EOD_EXIT,180.0,-18.06,-18.06,0.1,-36.22,5195.45,-0.694233180769847
7,XAUUSD,BUY,2026-07-03 07:05:00+00:00,4180.6,4156.146204054606,4214.835314323553,4234.398351079868,4156.146204054606,24.45379594539451,34.23531432355231,53.79835107986793,0.02,0.01,0.01,False,False,False,5195.447195416249,2026-07-03 14:05:00+00:00,4156.146204054606,SL,420.0,-24.45,-24.45,0.1,-49.01,5146.44,-0.9433259189553443
8,XAUUSD,BUY,2026-07-03 15:00:00+00:00,4171.97,4151.056455956815,4201.24896166046,4217.979796895009,4151.056455956815,20.91354404318568,29.278961660459952,46.0097968950085,0.02,0.01,0.01,False,False,False,5146.43960352546,2026-07-05 22:00:00+00:00,4180.18,EOD_EXIT,3300.0,8.21,8.21,0.1,16.32,5162.76,0.3171124361164236
9,NAS100,BUY,2026-07-03 16:40:00+00:00,29714.0,29589.382077796447,29900.926883305332,29963.23584440711,29589.382077796447,124.6179222035549,186.92688330533235,249.2358444071098,0.04,0.02,0.02,False,False,False,5146.43960352546,2026-07-05 22:00:00+00:00,29685.2,EOD_EXIT,3200.0,-5.76,-5.76,0.2,-11.72,5151.04,-0.22773025436792185
10,XAUUSD,SELL,2026-07-06 08:30:00+00:00,4153.95,4175.895019316547,4123.226972956833,4105.670957503596,4175.895019316547,21.945019316547437,30.72302704316641,48.279042496404365,0.02,0.01,0.01,False,False,False,5151.039603525461,2026-07-06 22:00:00+00:00,4164.46,EOD_EXIT,810.0,-10.51,-10.51,0.1,-21.12,5129.92,-0.41001431993543797
